T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
4.72,0.16,1.34,3.03,0.8,19.05,-6.61,1.03,0.01,0.0,271.66,201201,2012,01,37.191099578,-77.47594865,59.05
5.95,0.25,2.25,4.1,0.8,22.89,-6.18,1.08,0.02,0.0,280.38,201202,2012,02,37.191099578,-77.47594865,59.05
13.62,0.13,9.9,11.76,0.79,27.96,-4.72,0.79,0.01,0.0,320.55,201203,2012,03,37.191099578,-77.47594865,59.05
14.23,0.09,8.14,11.19,0.69,28.87,1.67,1.11,0.01,0.0,323.34,201204,2012,04,37.191099578,-77.47594865,59.05
21.11,0.04,15.9,18.51,0.62,32.87,7.81,1.08,0.0,5.27,374.19,201205,2012,05,37.191099578,-77.47594865,59.05
23.71,0.04,15.46,19.58,0.55,39.01,11.22,0.96,0.0,0.0,378.29,201206,2012,06,37.191099578,-77.47594865,59.05
28.4,0.02,20.39,24.39,0.55,41.36,18.76,0.7,0.0,5.27,417.55,201207,2012,07,37.191099578,-77.47594865,59.05
25.19,0.04,20.03,22.62,0.59,36.33,17.08,0.79,0.0,5.27,401.45,201208,2012,08,37.191099578,-77.47594865,59.05
20.33,0.09,15.97,18.15,0.69,34.55,7.82,0.91,0.0,5.27,365.37,201209,2012,09,37.191099578,-77.47594865,59.05
14.9,0.05,10.95,12.92,0.65,29.2,3.06,1.02,0.0,5.27,333.29,201210,2012,10,37.191099578,-77.47594865,59.05
6.43,0.05,2.38,4.4,0.66,22.44,-5.52,1.12,0.0,0.0,278.98,201211,2012,11,37.191099578,-77.47594865,59.05
7.15,0.12,3.8,5.48,0.66,21.98,-5.37,1.17,0.0,0.0,291.99,201212,2012,12,37.191099578,-77.47594865,59.05
