T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
-0.35,2.03,-9.77,-5.06,0.43,11.82,-10.33,8.84,0.11,0.0,237.72,201201,2012,01,38.722618448,-109.5863666,1819.21
-0.05,2.27,-7.59,-3.82,0.45,12.02,-9.85,8.68,0.05,0.0,247.86,201202,2012,02,38.722618448,-109.5863666,1819.21
5.98,2.94,-6.95,-0.49,0.44,23.26,-10.56,10.09,0.22,0.0,257.75,201203,2012,03,38.722618448,-109.5863666,1819.21
10.98,3.02,-4.53,3.22,0.38,29.3,-4.43,8.92,0.25,0.0,279.23,201204,2012,04,38.722618448,-109.5863666,1819.21
17.35,3.04,-6.01,5.67,0.22,32.0,2.07,11.5,0.05,0.0,290.84,201205,2012,05,38.722618448,-109.5863666,1819.21
24.14,2.88,-5.24,9.44,0.12,37.21,5.51,9.18,0.12,0.0,311.8,201206,2012,06,38.722618448,-109.5863666,1819.21
25.04,2.15,8.67,16.86,0.29,36.37,15.93,5.95,0.05,0.0,376.84,201207,2012,07,38.722618448,-109.5863666,1819.21
24.69,1.84,7.63,16.16,0.31,35.79,14.95,5.25,0.08,0.0,367.48,201208,2012,08,38.722618448,-109.5863666,1819.21
19.44,1.81,1.49,10.47,0.3,32.23,7.6,5.05,0.12,0.0,317.7,201209,2012,09,38.722618448,-109.5863666,1819.21
11.26,2.07,-4.2,3.53,0.33,27.07,-4.86,7.25,0.02,0.0,272.9,201210,2012,10,38.722618448,-109.5863666,1819.21
5.51,2.01,-6.4,-0.45,0.36,20.12,-8.17,8.84,0.09,0.0,254.16,201211,2012,11,38.722618448,-109.5863666,1819.21
-1.49,2.38,-8.1,-4.8,0.38,14.58,-14.1,7.2,0.13,0.0,252.19,201212,2012,12,38.722618448,-109.5863666,1819.21
11.9,2.37,-3.39,4.26,0.34,37.21,-14.1,11.5,0.02,0.0,289.08,201213,2012,13,38.722618448,-109.5863666,1819.21
-4.81,1.57,-10.49,-7.65,0.42,8.2,-19.19,6.82,0.03,0.0,232.44,201301,2013,01,38.722618448,-109.5863666,1819.21
-1.78,1.88,-9.32,-5.55,0.45,9.61,-10.7,7.91,0.02,0.0,236.64,201302,2013,02,38.722618448,-109.5863666,1819.21
5.05,2.28,-6.69,-0.81,0.44,19.37,-7.77,8.05,0.01,0.0,256.87,201303,2013,03,38.722618448,-109.5863666,1819.21
8.11,2.55,-5.1,1.51,0.42,25.51,-7.68,8.52,0.2,0.0,276.07,201304,2013,04,38.722618448,-109.5863666,1819.21
14.52,2.73,-2.51,6.01,0.39,29.48,-4.26,9.16,0.11,0.0,297.59,201305,2013,05,38.722618448,-109.5863666,1819.21
23.75,2.73,-4.17,9.8,0.17,39.12,4.05,8.15,0.03,0.0,320.1,201306,2013,06,38.722618448,-109.5863666,1819.21
25.97,2.08,8.83,17.4,0.29,37.77,15.14,5.73,0.19,0.0,376.5,201307,2013,07,38.722618448,-109.5863666,1819.21
22.9,1.73,9.33,16.12,0.39,34.15,13.3,4.95,0.08,0.0,367.18,201308,2013,08,38.722618448,-109.5863666,1819.21
18.19,2.28,6.35,12.26,0.45,33.71,0.27,8.85,0.02,0.0,329.62,201309,2013,09,38.722618448,-109.5863666,1819.21
8.25,2.24,-2.61,2.82,0.47,24.66,-3.74,8.95,0.03,0.0,268.43,201310,2013,10,38.722618448,-109.5863666,1819.21
3.19,1.73,-4.57,-0.69,0.48,18.37,-6.61,6.6,0.08,0.0,262.95,201311,2013,11,38.722618448,-109.5863666,1819.21
-3.37,1.61,-9.48,-6.42,0.52,7.87,-16.12,7.45,0.05,0.0,236.31,201312,2013,12,38.722618448,-109.5863666,1819.21
10.06,2.12,-2.49,3.79,0.41,39.12,-19.19,9.16,0.01,0.0,288.72,201313,2013,13,38.722618448,-109.5863666,1819.21
-0.67,1.62,-9.02,-4.85,0.52,8.13,-12.2,7.22,0.05,0.0,234.85,201401,2014,01,38.722618448,-109.5863666,1819.21
1.66,2.31,-6.32,-2.33,0.52,16.04,-11.79,7.88,0.13,0.0,253.65,201402,2014,02,38.722618448,-109.5863666,1819.21
5.07,2.67,-6.16,-0.54,0.49,18.4,-5.63,10.95,0.23,0.0,256.24,201403,2014,03,38.722618448,-109.5863666,1819.21
8.55,2.94,-4.63,1.96,0.45,24.15,-6.62,9.0,0.17,0.0,279.91,201404,2014,04,38.722618448,-109.5863666,1819.21
14.68,2.85,-1.68,6.5,0.43,31.94,-3.85,7.79,0.05,0.0,305.9,201405,2014,05,38.722618448,-109.5863666,1819.21
21.43,2.73,-2.24,9.59,0.31,34.4,5.99,9.62,0.11,0.0,319.48,201406,2014,06,38.722618448,-109.5863666,1819.21
25.95,2.1,6.76,16.36,0.23,37.52,13.0,7.03,0.05,0.0,369.05,201407,2014,07,38.722618448,-109.5863666,1819.21
21.69,1.99,8.28,14.98,0.41,33.64,10.4,5.91,0.12,0.0,354.91,201408,2014,08,38.722618448,-109.5863666,1819.21
19.4,1.95,6.37,12.89,0.42,31.66,4.91,7.05,0.05,0.0,331.95,201409,2014,09,38.722618448,-109.5863666,1819.21
12.05,1.77,-0.1,5.98,0.44,23.61,0.17,7.75,0.03,0.0,287.95,201410,2014,10,38.722618448,-109.5863666,1819.21
3.21,2.25,-6.31,-1.55,0.43,19.53,-9.57,8.86,0.16,0.0,252.41,201411,2014,11,38.722618448,-109.5863666,1819.21
0.17,1.83,-5.5,-2.67,0.44,12.73,-13.46,7.78,0.08,0.0,262.46,201412,2014,12,38.722618448,-109.5863666,1819.21
11.15,2.25,-1.67,4.74,0.42,37.52,-13.46,10.95,0.03,0.0,292.68,201413,2014,13,38.722618448,-109.5863666,1819.21
0.27,1.39,-5.56,-2.64,0.46,14.84,-11.45,5.59,0.05,0.0,248.52,201501,2015,01,38.722618448,-109.5863666,1819.21
3.18,2.01,-6.06,-1.44,0.47,16.66,-5.99,8.16,0.05,0.0,254.37,201502,2015,02,38.722618448,-109.5863666,1819.21
7.91,1.97,-4.58,1.66,0.47,23.91,-8.4,8.46,0.07,0.0,264.91,201503,2015,03,38.722618448,-109.5863666,1819.21
9.1,2.73,-4.56,2.27,0.43,25.73,-5.02,9.38,0.18,0.0,274.26,201504,2015,04,38.722618448,-109.5863666,1819.21
13.01,2.34,1.86,7.44,0.46,30.48,0.48,7.45,0.23,0.0,314.14,201505,2015,05,38.722618448,-109.5863666,1819.21
22.52,2.34,4.99,13.76,0.45,35.67,7.39,6.27,0.14,0.0,342.74,201506,2015,06,38.722618448,-109.5863666,1819.21
22.69,2.2,8.74,15.72,0.43,32.65,11.26,7.05,0.16,0.0,360.62,201507,2015,07,38.722618448,-109.5863666,1819.21
23.31,2.11,7.84,15.58,0.38,34.37,11.03,6.07,0.12,0.0,360.61,201508,2015,08,38.722618448,-109.5863666,1819.21
20.44,2.06,3.48,11.96,0.35,31.79,8.07,7.85,0.05,0.0,327.67,201509,2015,09,38.722618448,-109.5863666,1819.21
13.15,1.94,1.95,7.55,0.41,30.62,0.17,7.36,0.09,0.0,304.29,201510,2015,10,38.722618448,-109.5863666,1819.21
2.0,2.25,-6.27,-2.13,0.48,19.24,-9.49,8.66,0.11,0.0,246.12,201511,2015,11,38.722618448,-109.5863666,1819.21
-3.02,2.19,-8.75,-5.88,0.48,10.13,-19.86,8.2,0.12,0.0,243.24,201512,2015,12,38.722618448,-109.5863666,1819.21
11.26,2.12,-0.53,5.37,0.44,35.67,-19.86,9.38,0.05,0.0,295.43,201513,2015,13,38.722618448,-109.5863666,1819.21
-3.69,1.6,-7.89,-5.79,0.51,9.48,-18.03,6.81,0.02,0.0,244.06,201601,2016,01,38.722618448,-109.5863666,1819.21
1.52,1.84,-6.53,-2.51,0.55,15.12,-14.67,12.07,0.05,0.0,250.12,201602,2016,02,38.722618448,-109.5863666,1819.21
5.59,2.7,-5.6,-0.01,0.5,19.14,-4.58,8.38,0.27,0.0,262.6,201603,2016,03,38.722618448,-109.5863666,1819.21
8.95,2.73,-2.31,3.33,0.46,23.98,-4.2,9.34,0.12,0.0,287.77,201604,2016,04,38.722618448,-109.5863666,1819.21
13.78,2.62,-0.19,6.8,0.45,27.4,-0.59,9.23,0.11,0.0,306.24,201605,2016,05,38.722618448,-109.5863666,1819.21
24.26,2.48,2.25,13.26,0.32,38.44,9.83,7.84,0.05,0.0,337.46,201606,2016,06,38.722618448,-109.5863666,1819.21
25.19,2.27,4.37,14.78,0.3,37.98,12.66,8.09,0.14,0.0,354.28,201607,2016,07,38.722618448,-109.5863666,1819.21
22.24,2.02,6.73,14.48,0.34,34.51,9.67,5.77,0.17,0.0,353.95,201608,2016,08,38.722618448,-109.5863666,1819.21
17.98,2.56,1.4,9.69,0.33,31.22,3.51,8.77,0.24,0.0,319.1,201609,2016,09,38.722618448,-109.5863666,1819.21
13.01,2.53,0.09,6.55,0.37,24.58,-0.42,8.04,0.03,0.0,295.43,201610,2016,10,38.722618448,-109.5863666,1819.21
6.02,2.16,-4.07,0.98,0.37,20.41,-7.46,7.47,0.07,0.0,267.46,201611,2016,11,38.722618448,-109.5863666,1819.21
-1.16,2.22,-8.13,-4.64,0.42,11.6,-10.45,9.56,0.07,0.0,246.27,201612,2016,12,38.722618448,-109.5863666,1819.21
11.16,2.31,-1.64,4.76,0.41,38.44,-18.03,12.07,0.02,0.0,293.87,201613,2016,13,38.722618448,-109.5863666,1819.21
-2.36,2.77,-6.63,-4.49,0.47,7.93,-16.5,9.33,0.15,0.0,251.97,201701,2017,01,38.722618448,-109.5863666,1819.21
3.12,3.09,-3.7,-0.29,0.49,16.66,-8.77,9.45,0.14,0.0,268.48,201702,2017,02,38.722618448,-109.5863666,1819.21
7.96,2.71,-3.7,2.13,0.46,23.48,-7.52,8.92,0.09,0.0,276.48,201703,2017,03,38.722618448,-109.5863666,1819.21
8.83,2.9,-4.63,2.11,0.42,23.34,-4.41,8.62,0.1,0.0,274.95,201704,2017,04,38.722618448,-109.5863666,1819.21
14.47,2.53,-0.98,6.75,0.39,29.67,-1.2,8.64,0.07,0.0,300.69,201705,2017,05,38.722618448,-109.5863666,1819.21
24.17,2.73,-1.78,11.19,0.2,37.55,5.98,10.12,0.11,0.0,324.16,201706,2017,06,38.722618448,-109.5863666,1819.21
25.89,1.82,7.75,16.82,0.27,38.23,13.63,6.45,0.09,0.0,372.18,201707,2017,07,38.722618448,-109.5863666,1819.21
23.5,1.81,7.07,15.29,0.34,35.1,12.9,5.91,0.08,0.0,353.28,201708,2017,08,38.722618448,-109.5863666,1819.21
18.43,2.22,3.13,10.78,0.3,35.44,1.6,7.77,0.11,0.0,323.62,201709,2017,09,38.722618448,-109.5863666,1819.21
10.05,2.28,-4.6,2.73,0.34,24.73,-1.62,8.49,0.06,0.0,269.88,201710,2017,10,38.722618448,-109.5863666,1819.21
7.15,2.5,-5.45,0.84,0.25,19.83,-5.17,9.02,0.03,0.0,267.22,201711,2017,11,38.722618448,-109.5863666,1819.21
1.04,1.79,-10.87,-4.92,0.27,15.19,-9.38,8.36,0.02,0.0,240.58,201712,2017,12,38.722618448,-109.5863666,1819.21
11.9,2.42,-2.02,4.94,0.35,38.23,-16.5,10.12,0.02,0.0,293.79,201713,2017,13,38.722618448,-109.5863666,1819.21
0.96,1.81,-8.89,-3.97,0.38,13.79,-8.55,8.61,0.06,0.0,247.28,201801,2018,01,38.722618448,-109.5863666,1819.21
1.01,2.66,-7.92,-3.45,0.41,14.84,-11.59,10.55,0.11,0.0,253.92,201802,2018,02,38.722618448,-109.5863666,1819.21
4.87,2.83,-7.13,-1.13,0.41,20.26,-7.13,8.95,0.13,0.0,258.66,201803,2018,03,38.722618448,-109.5863666,1819.21
10.69,3.2,-6.02,2.33,0.39,25.75,-4.77,9.59,0.23,0.0,280.91,201804,2018,04,38.722618448,-109.5863666,1819.21
17.54,2.75,-3.46,7.04,0.27,30.43,1.75,9.13,0.03,0.0,308.78,201805,2018,05,38.722618448,-109.5863666,1819.21
23.93,2.97,-4.77,9.58,0.13,37.85,7.71,7.64,0.16,0.0,324.27,201806,2018,06,38.722618448,-109.5863666,1819.21
26.53,2.22,7.8,17.17,0.29,37.4,13.16,7.23,0.05,0.0,374.2,201807,2018,07,38.722618448,-109.5863666,1819.21
24.45,2.36,5.3,14.87,0.27,36.22,11.98,6.7,0.09,0.0,355.14,201808,2018,08,38.722618448,-109.5863666,1819.21
20.48,2.4,-0.01,10.24,0.23,32.69,6.26,6.94,0.16,0.0,324.98,201809,2018,09,38.722618448,-109.5863666,1819.21
9.21,1.95,1.15,5.18,0.45,24.41,-6.85,6.52,0.04,0.0,294.42,201810,2018,10,38.722618448,-109.5863666,1819.21
1.94,1.79,-8.0,-3.02,0.45,13.78,-8.74,7.82,0.12,0.0,238.52,201811,2018,11,38.722618448,-109.5863666,1819.21
-1.49,1.51,-8.02,-4.76,0.46,9.93,-12.31,7.53,0.03,0.0,245.76,201812,2018,12,38.722618448,-109.5863666,1819.21
11.73,2.37,-3.28,4.23,0.34,37.85,-12.31,10.55,0.03,0.0,292.55,201813,2018,13,38.722618448,-109.5863666,1819.21
-2.17,2.04,-7.02,-4.6,0.49,6.9,-15.32,10.71,0.02,0.0,245.2,201901,2019,01,38.722618448,-109.5863666,1819.21
