T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
-1.99,3.09,-10.85,-6.42,0.41,12.69,-15.38,9.84,0.18,0.0,220.12,201201,2012,01,38.912605868,-105.2803396,2371.52
-4.28,3.42,-10.89,-7.59,0.42,9.85,-15.22,10.45,0.05,0.0,221.72,201202,2012,02,38.912605868,-105.2803396,2371.52
4.18,3.27,-9.26,-2.54,0.39,22.37,-13.4,12.28,0.3,0.0,232.91,201203,2012,03,38.912605868,-105.2803396,2371.52
8.26,3.15,-4.81,1.73,0.39,25.56,-5.57,10.82,0.16,0.0,262.67,201204,2012,04,38.912605868,-105.2803396,2371.52
12.51,2.84,-3.19,4.66,0.38,28.7,-0.97,10.38,0.2,0.0,280.48,201205,2012,05,38.912605868,-105.2803396,2371.52
20.37,2.89,-0.13,10.12,0.3,34.42,5.64,8.32,0.22,0.0,303.05,201206,2012,06,38.912605868,-105.2803396,2371.52
21.13,2.47,8.07,14.6,0.36,32.81,10.17,5.53,0.11,5.27,340.23,201207,2012,07,38.912605868,-105.2803396,2371.52
19.33,2.2,5.1,12.21,0.35,31.0,7.16,6.83,0.12,0.0,329.51,201208,2012,08,38.912605868,-105.2803396,2371.52
14.69,1.91,0.78,7.73,0.35,29.56,3.38,6.94,0.16,0.0,293.96,201209,2012,09,38.912605868,-105.2803396,2371.52
6.84,2.52,-5.42,0.71,0.36,23.48,-7.59,8.15,0.22,0.0,248.64,201210,2012,10,38.912605868,-105.2803396,2371.52
3.27,2.12,-8.67,-2.7,0.34,20.5,-9.58,7.06,0.17,0.0,233.66,201211,2012,11,38.912605868,-105.2803396,2371.52
-3.51,2.62,-11.7,-7.6,0.35,14.86,-15.99,9.8,0.08,0.0,230.3,201212,2012,12,38.912605868,-105.2803396,2371.52
8.44,2.7,-4.23,2.1,0.37,34.42,-15.99,12.28,0.05,0.0,266.61,201213,2012,13,38.912605868,-105.2803396,2371.52
-4.14,2.54,-13.5,-8.82,0.36,13.3,-20.26,10.03,0.03,0.0,219.17,201301,2013,01,38.912605868,-105.2803396,2371.52
-4.38,2.86,-12.27,-8.32,0.37,9.93,-15.38,8.24,0.03,0.0,221.69,201302,2013,02,38.912605868,-105.2803396,2371.52
0.44,3.08,-9.15,-4.35,0.38,17.23,-16.67,10.23,0.1,0.0,241.62,201303,2013,03,38.912605868,-105.2803396,2371.52
3.06,3.0,-7.38,-2.16,0.38,22.7,-14.4,9.35,0.02,0.0,263.04,201304,2013,04,38.912605868,-105.2803396,2371.52
9.89,2.55,-2.8,3.55,0.39,26.65,-7.89,8.4,0.08,0.0,282.71,201305,2013,05,38.912605868,-105.2803396,2371.52
18.86,2.59,0.15,9.5,0.32,32.87,1.6,7.76,0.12,0.0,306.91,201306,2013,06,38.912605868,-105.2803396,2371.52
19.37,2.3,7.83,13.61,0.38,32.06,7.54,6.05,0.16,0.0,335.95,201307,2013,07,38.912605868,-105.2803396,2371.52
18.67,1.94,7.65,13.16,0.41,30.52,7.82,4.5,0.13,0.0,332.68,201308,2013,08,38.912605868,-105.2803396,2371.52
