T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
6.19,1.1,2.83,4.51,0.76,18.58,-5.67,3.76,0.08,0.0,277.92,201201,2012,01,35.139007238,-81.38978712,201.9
7.56,1.14,3.96,5.76,0.76,22.92,-5.98,3.91,0.09,0.0,287.02,201202,2012,02,35.139007238,-81.38978712,201.9
15.26,1.02,11.23,13.25,0.72,27.54,-3.68,3.46,0.07,0.0,325.22,201203,2012,03,35.139007238,-81.38978712,201.9
16.9,1.09,10.86,13.88,0.62,31.4,1.12,3.18,0.09,0.0,330.95,201204,2012,04,35.139007238,-81.38978712,201.9
21.78,0.91,16.29,19.03,0.61,33.08,9.49,2.32,0.06,5.27,367.67,201205,2012,05,35.139007238,-81.38978712,201.9
24.24,0.91,15.9,20.07,0.54,41.51,11.67,2.77,0.08,0.0,380.0,201206,2012,06,35.139007238,-81.38978712,201.9
28.15,0.81,20.69,24.42,0.54,40.92,20.02,1.88,0.14,5.27,409.17,201207,2012,07,35.139007238,-81.38978712,201.9
24.83,0.73,19.24,22.04,0.57,35.97,15.26,1.88,0.13,5.27,392.37,201208,2012,08,35.139007238,-81.38978712,201.9
22.02,0.87,15.91,18.97,0.56,34.69,8.52,2.58,0.05,0.0,367.55,201209,2012,09,35.139007238,-81.38978712,201.9
15.89,1.09,9.65,12.77,0.54,29.16,4.13,3.3,0.09,0.0,326.95,201210,2012,10,35.139007238,-81.38978712,201.9
8.46,1.0,1.38,4.92,0.5,23.16,-3.38,2.57,0.28,0.0,277.03,201211,2012,11,35.139007238,-81.38978712,201.9
8.5,1.07,3.82,6.15,0.55,22.97,-4.53,3.84,0.12,5.27,296.07,201212,2012,12,35.139007238,-81.38978712,201.9
16.69,0.98,11.02,13.85,0.6,41.51,-5.98,3.91,0.05,0.0,336.73,201213,2012,13,35.139007238,-81.38978712,201.9
7.02,1.02,4.21,5.62,0.74,23.13,-5.82,4.65,0.11,5.27,291.34,201301,2013,01,35.139007238,-81.38978712,201.9
4.77,1.11,1.01,2.89,0.8,16.8,-5.38,2.84,0.07,5.27,271.84,201302,2013,02,35.139007238,-81.38978712,201.9
6.65,1.18,1.98,4.32,0.81,23.34,-4.87,3.48,0.18,0.0,278.98,201303,2013,03,35.139007238,-81.38978712,201.9
14.98,1.12,10.8,12.89,0.77,26.97,1.35,3.19,0.14,5.27,320.41,201304,2013,04,35.139007238,-81.38978712,201.9
18.67,1.05,14.69,16.68,0.75,29.43,5.13,3.32,0.09,5.27,346.84,201305,2013,05,35.139007238,-81.38978712,201.9
23.77,1.0,20.22,21.99,0.69,32.94,15.4,2.74,0.06,5.27,386.22,201306,2013,06,35.139007238,-81.38978712,201.9
24.8,0.88,21.8,23.31,0.74,32.62,16.6,2.34,0.07,5.27,399.57,201307,2013,07,35.139007238,-81.38978712,201.9
23.79,0.81,20.1,21.94,0.7,33.08,13.53,2.06,0.05,5.27,393.66,201308,2013,08,35.139007238,-81.38978712,201.9
21.73,0.85,15.71,18.72,0.57,33.11,9.7,2.43,0.02,0.0,370.35,201309,2013,09,35.139007238,-81.38978712,201.9
17.02,0.92,11.0,14.01,0.53,31.81,-1.39,2.84,0.05,0.0,336.1,201310,2013,10,35.139007238,-81.38978712,201.9
8.3,1.02,1.98,5.14,0.53,23.48,-5.89,3.08,0.05,0.0,282.57,201311,2013,11,35.139007238,-81.38978712,201.9
7.01,0.97,3.58,5.3,0.71,23.89,-6.11,3.45,0.09,5.27,287.09,201312,2013,12,35.139007238,-81.38978712,201.9
14.94,0.99,10.65,12.8,0.7,33.11,-6.11,4.65,0.02,5.27,330.8,201313,2013,13,35.139007238,-81.38978712,201.9
0.98,1.09,-3.08,-1.06,0.84,17.87,-11.31,3.89,0.12,0.0,246.52,201401,2014,01,35.139007238,-81.38978712,201.9
5.69,1.11,2.36,4.02,0.84,21.68,-4.99,3.2,0.09,0.0,276.82,201402,2014,02,35.139007238,-81.38978712,201.9
7.36,1.25,3.55,5.45,0.86,22.24,-5.85,4.02,0.09,5.27,285.05,201403,2014,03,35.139007238,-81.38978712,201.9
15.1,1.18,11.1,13.1,0.84,27.54,-0.74,3.13,0.07,5.27,315.68,201404,2014,04,35.139007238,-81.38978712,201.9
20.65,0.94,16.47,18.55,0.73,30.87,6.53,2.58,0.08,0.0,352.22,201405,2014,05,35.139007238,-81.38978712,201.9
25.13,0.79,19.42,22.28,0.59,34.01,12.58,1.84,0.15,5.27,393.38,201406,2014,06,35.139007238,-81.38978712,201.9
25.9,0.84,18.65,22.27,0.55,36.62,15.01,2.52,0.11,5.27,391.09,201407,2014,07,35.139007238,-81.38978712,201.9
24.83,0.81,18.63,21.73,0.6,35.83,14.39,2.27,0.06,5.27,390.32,201408,2014,08,35.139007238,-81.38978712,201.9
22.84,0.88,17.55,20.2,0.55,35.09,12.33,2.55,0.11,5.27,389.16,201409,2014,09,35.139007238,-81.38978712,201.9
17.15,1.02,10.41,13.78,0.52,31.0,4.14,2.92,0.19,0.0,324.69,201410,2014,10,35.139007238,-81.38978712,201.9
7.73,1.05,1.38,4.55,0.57,24.61,-6.05,3.68,0.05,5.27,275.74,201411,2014,11,35.139007238,-81.38978712,201.9
6.92,0.89,3.86,5.39,0.7,20.2,-3.56,2.96,0.02,5.27,291.67,201412,2014,12,35.139007238,-81.38978712,201.9
15.07,0.98,10.06,12.57,0.68,36.62,-11.31,4.02,0.02,5.27,327.94,201413,2014,13,35.139007238,-81.38978712,201.9
3.65,1.04,-0.24,1.71,0.79,18.54,-9.99,3.12,0.1,0.0,263.32,201501,2015,01,35.139007238,-81.38978712,201.9
1.97,1.23,-2.58,-0.31,0.79,17.27,-13.59,4.27,0.05,0.0,260.29,201502,2015,02,35.139007238,-81.38978712,201.9
10.87,1.04,6.96,8.92,0.78,24.48,-5.2,3.05,0.13,0.0,309.9,201503,2015,03,35.139007238,-81.38978712,201.9
16.41,1.08,12.34,14.37,0.74,27.48,1.22,2.92,0.18,5.27,334.35,201504,2015,04,35.139007238,-81.38978712,201.9
21.76,0.91,15.27,18.52,0.59,32.26,6.99,2.67,0.18,0.0,358.12,201505,2015,05,35.139007238,-81.38978712,201.9
27.08,0.91,18.48,22.78,0.51,39.11,15.2,2.74,0.16,0.0,396.59,201506,2015,06,35.139007238,-81.38978712,201.9
28.53,0.95,19.33,23.93,0.47,39.44,20.58,3.45,0.05,0.0,408.96,201507,2015,07,35.139007238,-81.38978712,201.9
26.98,0.88,17.99,22.48,0.48,38.73,18.2,2.6,0.06,0.0,393.67,201508,2015,08,35.139007238,-81.38978712,201.9
23.24,1.02,16.24,19.74,0.51,36.15,10.06,2.72,0.08,5.27,376.06,201509,2015,09,35.139007238,-81.38978712,201.9
15.45,1.2,11.6,13.53,0.73,25.75,1.08,3.7,0.02,5.27,323.67,201510,2015,10,35.139007238,-81.38978712,201.9
11.95,0.92,8.98,10.46,0.86,24.27,-3.29,2.85,0.14,5.27,313.23,201511,2015,11,35.139007238,-81.38978712,201.9
