T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
-1.38,0.98,-3.27,-2.33,0.86,10.9,-11.95,2.11,0.04,0.0,271.34,201201,2012,01,39.813060488,-79.59033344,549.18
0.35,0.95,-1.76,-0.7,0.87,15.76,-10.9,2.55,0.19,0.0,272.77,201202,2012,02,39.813060488,-79.59033344,549.18
9.0,0.72,5.95,7.48,0.86,25.12,-6.73,2.1,0.03,0.0,306.92,201203,2012,03,39.813060488,-79.59033344,549.18
8.13,0.33,3.63,5.88,0.8,25.3,-3.3,0.95,0.03,0.0,301.31,201204,2012,04,39.813060488,-79.59033344,549.18
17.69,0.19,13.7,15.69,0.77,29.69,1.66,1.01,0.02,5.27,352.45,201205,2012,05,39.813060488,-79.59033344,549.18
19.24,0.19,13.37,16.3,0.62,32.68,7.65,0.82,0.04,0.0,354.19,201206,2012,06,39.813060488,-79.59033344,549.18
23.8,0.19,17.25,20.52,0.54,35.6,12.84,0.86,0.02,5.27,393.0,201207,2012,07,39.813060488,-79.59033344,549.18
21.19,0.22,14.01,17.6,0.52,31.6,11.84,1.05,0.01,0.0,369.46,201208,2012,08,39.813060488,-79.59033344,549.18
16.94,0.19,10.92,13.93,0.52,32.09,3.83,0.97,0.02,5.27,347.41,201209,2012,09,39.813060488,-79.59033344,549.18
10.12,0.2,6.44,8.28,0.59,24.66,-2.02,0.89,0.01,5.27,317.78,201210,2012,10,39.813060488,-79.59033344,549.18
1.67,0.27,-1.49,0.09,0.74,18.62,-5.78,1.08,0.02,0.0,270.12,201211,2012,11,39.813060488,-79.59033344,549.18
1.72,0.48,0.29,1.01,0.77,17.57,-8.25,1.37,0.08,5.27,289.7,201212,2012,12,39.813060488,-79.59033344,549.18
10.75,0.41,6.63,8.69,0.7,35.6,-11.95,2.55,0.01,5.27,320.82,201213,2012,13,39.813060488,-79.59033344,549.18
-2.16,0.86,-3.59,-2.88,0.83,17.57,-15.63,2.44,0.03,0.0,271.51,201301,2013,01,39.813060488,-79.59033344,549.18
-3.17,1.12,-5.17,-4.17,0.86,10.36,-13.57,2.41,0.11,0.0,275.13,201302,2013,02,39.813060488,-79.59033344,549.18
-0.61,0.77,-3.1,-1.85,0.85,15.85,-9.21,1.81,0.12,0.0,284.06,201303,2013,03,39.813060488,-79.59033344,549.18
9.13,0.33,5.14,7.13,0.83,22.64,-6.18,1.01,0.04,0.0,305.56,201304,2013,04,39.813060488,-79.59033344,549.18
14.5,0.21,10.25,12.37,0.76,27.79,-1.24,0.84,0.05,0.0,338.26,201305,2013,05,39.813060488,-79.59033344,549.18
19.65,0.19,15.59,17.62,0.66,29.48,4.7,0.8,0.01,5.27,373.41,201306,2013,06,39.813060488,-79.59033344,549.18
21.49,0.17,17.77,19.63,0.62,31.69,9.66,0.85,0.02,5.27,386.34,201307,2013,07,39.813060488,-79.59033344,549.18
19.59,0.2,14.98,17.28,0.59,28.51,7.79,0.92,0.01,5.27,374.11,201308,2013,08,39.813060488,-79.59033344,549.18
16.26,0.19,10.57,13.42,0.54,30.3,2.23,0.99,0.0,0.0,348.07,201309,2013,09,39.813060488,-79.59033344,549.18
11.33,0.21,6.9,9.12,0.54,28.74,-2.77,0.98,0.03,0.0,324.35,201310,2013,10,39.813060488,-79.59033344,549.18
1.99,0.23,-2.39,-0.2,0.56,18.31,-13.06,1.05,0.05,0.0,280.21,201311,2013,11,39.813060488,-79.59033344,549.18
