T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
4.82,3.62,-6.79,-0.99,0.34,21.18,-7.66,12.16,0.2,0.0,250.2,201201,2012,01,35.619262038,-101.6820066,1039.52
4.4,4.0,-4.99,-0.29,0.36,23.06,-7.92,12.05,0.12,0.0,275.48,201202,2012,02,35.619262038,-101.6820066,1039.52
13.15,3.83,-2.85,5.15,0.34,31.91,-4.16,9.9,0.23,0.0,292.66,201203,2012,03,35.619262038,-101.6820066,1039.52
17.86,3.83,2.82,10.33,0.34,37.62,3.77,10.02,0.03,0.0,325.75,201204,2012,04,35.619262038,-101.6820066,1039.52
22.08,3.64,3.71,12.9,0.31,38.78,7.37,9.59,0.07,0.0,338.15,201205,2012,05,35.619262038,-101.6820066,1039.52
27.4,3.96,11.58,19.49,0.33,42.87,14.45,8.95,0.25,0.0,377.37,201206,2012,06,35.619262038,-101.6820066,1039.52
29.98,3.56,12.05,21.01,0.24,40.99,18.25,7.58,0.38,0.0,395.3,201207,2012,07,35.619262038,-101.6820066,1039.52
27.71,3.0,11.12,19.41,0.28,42.74,15.01,7.48,0.38,0.0,386.15,201208,2012,08,35.619262038,-101.6820066,1039.52
22.52,2.85,8.19,15.36,0.34,38.35,7.73,7.73,0.16,0.0,352.66,201209,2012,09,35.619262038,-101.6820066,1039.52
14.5,3.32,1.82,8.15,0.34,31.12,-2.47,9.72,0.2,0.0,303.64,201210,2012,10,35.619262038,-101.6820066,1039.52
10.73,3.19,-2.83,3.94,0.27,28.23,-4.04,10.13,0.11,0.0,274.79,201211,2012,11,35.619262038,-101.6820066,1039.52
4.44,3.75,-6.96,-1.26,0.3,23.26,-8.23,11.07,0.17,0.0,261.07,201212,2012,12,35.619262038,-101.6820066,1039.52
16.66,3.55,2.25,9.46,0.32,42.87,-8.23,12.16,0.03,0.0,319.53,201213,2012,13,35.619262038,-101.6820066,1039.52
2.35,3.12,-6.11,-1.88,0.36,21.23,-8.75,11.05,0.28,0.0,254.44,201301,2013,01,35.619262038,-101.6820066,1039.52
3.42,3.66,-6.33,-1.45,0.38,21.3,-9.24,11.7,0.12,0.0,258.73,201302,2013,02,35.619262038,-101.6820066,1039.52
9.64,3.79,-3.99,2.83,0.34,28.56,-6.19,11.25,0.02,0.0,279.94,201303,2013,03,35.619262038,-101.6820066,1039.52
13.4,4.0,-2.94,5.23,0.27,36.41,-5.43,11.15,0.28,0.0,305.84,201304,2013,04,35.619262038,-101.6820066,1039.52
20.59,3.94,2.39,11.49,0.28,37.77,-1.09,9.55,0.16,0.0,335.03,201305,2013,05,35.619262038,-101.6820066,1039.52
27.08,4.03,11.75,19.41,0.33,42.97,12.07,8.12,0.24,0.0,377.18,201306,2013,06,35.619262038,-101.6820066,1039.52
26.65,3.68,13.19,19.92,0.33,39.67,15.2,7.68,0.41,0.0,389.2,201307,2013,07,35.619262038,-101.6820066,1039.52
27.47,3.22,14.42,20.94,0.34,40.53,16.83,7.02,0.23,0.0,387.82,201308,2013,08,35.619262038,-101.6820066,1039.52
24.23,3.45,10.75,17.49,0.31,37.52,7.8,6.9,0.39,0.0,363.64,201309,2013,09,35.619262038,-101.6820066,1039.52
14.9,3.51,1.69,8.3,0.31,33.06,0.18,8.68,0.02,0.0,303.73,201310,2013,10,35.619262038,-101.6820066,1039.52
7.23,3.66,-2.35,2.44,0.33,23.06,-6.43,9.76,0.27,0.0,280.66,201311,2013,11,35.619262038,-101.6820066,1039.52
1.51,3.23,-7.2,-2.84,0.34,22.23,-13.79,8.66,0.12,0.0,252.96,201312,2013,12,35.619262038,-101.6820066,1039.52
14.94,3.61,2.15,8.55,0.33,42.97,-13.79,11.7,0.02,0.0,316.05,201313,2013,13,35.619262038,-101.6820066,1039.52
2.52,3.61,-8.29,-2.88,0.33,19.98,-9.7,9.77,0.28,0.0,250.71,201401,2014,01,35.619262038,-101.6820066,1039.52
3.72,3.63,-6.85,-1.56,0.31,24.87,-13.79,9.66,0.34,0.0,272.58,201402,2014,02,35.619262038,-101.6820066,1039.52
9.24,4.41,-5.82,1.71,0.26,28.68,-10.47,11.21,0.4,0.0,276.06,201403,2014,03,35.619262038,-101.6820066,1039.52
15.07,4.61,-2.41,6.33,0.23,33.08,-2.0,10.19,0.42,0.0,306.23,201404,2014,04,35.619262038,-101.6820066,1039.52
20.4,3.65,1.28,10.84,0.26,36.84,2.85,10.18,0.24,0.0,332.7,201405,2014,05,35.619262038,-101.6820066,1039.52
25.47,4.27,13.46,19.46,0.38,41.52,10.07,10.03,0.14,5.27,375.81,201406,2014,06,35.619262038,-101.6820066,1039.52
26.23,3.66,14.9,20.56,0.37,40.66,14.3,8.13,0.08,0.0,391.83,201407,2014,07,35.619262038,-101.6820066,1039.52
27.47,3.14,13.19,20.33,0.33,39.4,16.59,7.58,0.18,0.0,388.43,201408,2014,08,35.619262038,-101.6820066,1039.52
21.77,3.55,13.72,17.75,0.38,37.45,6.8,7.31,0.11,0.0,371.45,201409,2014,09,35.619262038,-101.6820066,1039.52
16.57,3.0,5.25,10.9,0.36,32.84,4.02,9.65,0.1,0.0,318.28,201410,2014,10,35.619262038,-101.6820066,1039.52
6.31,3.8,-4.29,1.01,0.35,26.9,-9.6,10.48,0.23,0.0,271.25,201411,2014,11,35.619262038,-101.6820066,1039.52
3.88,3.16,-2.99,0.44,0.35,20.62,-13.76,10.81,0.33,0.0,281.22,201412,2014,12,35.619262038,-101.6820066,1039.52
14.95,3.7,2.65,8.8,0.33,41.52,-13.79,11.21,0.08,0.0,319.98,201413,2014,13,35.619262038,-101.6820066,1039.52
2.14,3.12,-4.92,-1.38,0.38,22.31,-11.8,8.55,0.06,0.0,265.36,201501,2015,01,35.619262038,-101.6820066,1039.52
4.19,3.51,-4.74,-0.27,0.37,26.84,-9.2,9.58,0.13,0.0,271.23,201502,2015,02,35.619262038,-101.6820066,1039.52
10.41,3.09,-0.96,4.73,0.35,29.54,-6.95,10.59,0.03,0.0,294.36,201503,2015,03,35.619262038,-101.6820066,1039.52
15.83,3.96,0.43,8.13,0.34,30.87,1.6,10.27,0.27,0.0,314.8,201504,2015,04,35.619262038,-101.6820066,1039.52
17.75,3.69,9.45,13.6,0.48,31.01,3.98,9.09,0.24,5.27,343.8,201505,2015,05,35.619262038,-101.6820066,1039.52
25.4,3.52,15.26,20.33,0.41,36.65,14.54,7.5,0.7,0.0,380.33,201506,2015,06,35.619262038,-101.6820066,1039.52
26.76,3.28,17.19,21.98,0.43,38.1,13.8,6.39,0.32,5.27,397.59,201507,2015,07,35.619262038,-101.6820066,1039.52
25.55,3.07,16.08,20.81,0.42,37.5,12.69,7.25,0.12,5.27,385.8,201508,2015,08,35.619262038,-101.6820066,1039.52
24.97,3.63,12.94,18.96,0.34,37.26,14.24,7.39,0.54,0.0,375.97,201509,2015,09,35.619262038,-101.6820066,1039.52
16.17,3.26,8.25,12.21,0.44,32.52,3.96,7.81,0.28,5.27,334.83,201510,2015,10,35.619262038,-101.6820066,1039.52
7.87,3.69,0.18,4.02,0.43,25.94,-5.02,10.46,0.23,0.0,277.75,201511,2015,11,35.619262038,-101.6820066,1039.52
3.84,3.62,-3.54,0.15,0.45,21.54,-5.67,12.9,0.12,0.0,263.74,201512,2015,12,35.619262038,-101.6820066,1039.52
15.12,3.45,5.53,10.33,0.41,38.1,-11.8,12.9,0.03,0.0,325.78,201513,2015,13,35.619262038,-101.6820066,1039.52
2.71,3.1,-4.3,-0.8,0.43,21.64,-6.91,9.45,0.27,0.0,259.25,201601,2016,01,35.619262038,-101.6820066,1039.52
7.23,3.71,-3.34,1.94,0.41,27.42,-5.9,9.07,0.34,0.0,265.19,201602,2016,02,35.619262038,-101.6820066,1039.52
11.47,4.18,-1.71,4.88,0.37,27.32,-4.82,11.34,0.46,0.0,286.95,201603,2016,03,35.619262038,-101.6820066,1039.52
14.94,3.9,2.35,8.65,0.39,29.87,0.57,9.83,0.09,5.27,316.05,201604,2016,04,35.619262038,-101.6820066,1039.52
18.5,3.89,6.28,12.39,0.4,34.26,2.04,8.64,0.36,0.0,335.82,201605,2016,05,35.619262038,-101.6820066,1039.52
26.73,3.38,13.51,20.12,0.35,40.19,13.17,6.85,0.32,0.0,381.02,201606,2016,06,35.619262038,-101.6820066,1039.52
30.37,3.59,13.47,21.92,0.31,42.92,19.71,7.77,0.23,0.0,397.01,201607,2016,07,35.619262038,-101.6820066,1039.52
25.43,3.07,15.17,20.3,0.39,38.83,16.05,6.94,0.31,5.27,390.27,201608,2016,08,35.619262038,-101.6820066,1039.52
22.57,3.48,12.79,17.68,0.38,35.45,8.8,8.21,0.3,0.0,362.48,201609,2016,09,35.619262038,-101.6820066,1039.52
18.56,3.86,5.19,11.87,0.32,35.12,3.79,9.08,0.72,0.0,324.12,201610,2016,10,35.619262038,-101.6820066,1039.52
10.86,3.35,1.02,5.94,0.36,26.79,-3.76,10.62,0.24,0.0,291.55,201611,2016,11,35.619262038,-101.6820066,1039.52
2.9,3.88,-6.0,-1.56,0.36,20.7,-11.44,11.73,0.27,0.0,265.05,201612,2016,12,35.619262038,-101.6820066,1039.52
16.04,3.62,4.55,10.3,0.38,42.92,-11.44,11.73,0.09,0.0,323.05,201613,2016,13,35.619262038,-101.6820066,1039.52
3.44,3.48,-4.63,-0.6,0.4,22.32,-11.39,11.05,0.09,0.0,267.31,201701,2017,01,35.619262038,-101.6820066,1039.52
8.51,3.96,-3.1,2.71,0.37,28.89,-6.8,10.71,0.23,0.0,275.55,201702,2017,02,35.619262038,-101.6820066,1039.52
12.65,4.25,-0.08,6.28,0.35,32.74,-2.93,12.2,0.3,0.0,296.55,201703,2017,03,35.619262038,-101.6820066,1039.52
14.73,4.53,3.2,8.97,0.39,32.76,0.55,10.62,0.59,0.0,319.55,201704,2017,04,35.619262038,-101.6820066,1039.52
19.19,3.87,4.98,12.08,0.37,36.27,1.19,9.07,0.22,0.0,327.12,201705,2017,05,35.619262038,-101.6820066,1039.52
26.35,3.55,11.2,18.78,0.33,42.74,13.83,9.23,0.2,0.0,377.74,201706,2017,06,35.619262038,-101.6820066,1039.52
28.69,3.1,14.77,21.73,0.33,39.43,18.55,6.56,0.21,0.0,393.85,201707,2017,07,35.619262038,-101.6820066,1039.52
23.62,2.55,16.46,20.04,0.45,35.55,14.0,6.62,0.44,5.27,384.3,201708,2017,08,35.619262038,-101.6820066,1039.52
22.15,3.41,10.72,16.44,0.38,36.86,9.7,7.75,0.23,0.0,366.25,201709,2017,09,35.619262038,-101.6820066,1039.52
14.83,3.88,5.9,10.36,0.45,29.62,-1.81,9.2,0.48,0.0,316.77,201710,2017,10,35.619262038,-101.6820066,1039.52
10.68,3.57,1.51,6.09,0.39,26.9,-1.26,8.45,0.2,0.0,295.55,201711,2017,11,35.619262038,-101.6820066,1039.52
3.23,3.3,-5.74,-1.25,0.38,23.37,-10.71,8.52,0.27,0.0,258.48,201712,2017,12,35.619262038,-101.6820066,1039.52
15.7,3.62,4.64,10.17,0.38,42.74,-11.39,12.2,0.09,0.0,323.47,201713,2017,13,35.619262038,-101.6820066,1039.52
2.81,3.57,-7.4,-2.3,0.38,22.44,-13.24,10.3,0.2,0.0,249.64,201801,2018,01,35.619262038,-101.6820066,1039.52
5.12,4.11,-5.51,-0.2,0.36,23.85,-8.37,9.26,0.19,0.0,269.27,201802,2018,02,35.619262038,-101.6820066,1039.52
11.41,4.12,-3.23,4.09,0.34,32.09,-4.15,10.52,0.17,0.0,287.12,201803,2018,03,35.619262038,-101.6820066,1039.52
13.42,4.68,-2.02,5.7,0.33,33.68,-5.64,10.29,0.08,0.0,301.87,201804,2018,04,35.619262038,-101.6820066,1039.52
24.52,3.94,7.31,15.92,0.3,38.5,7.75,8.53,0.28,0.0,355.23,201805,2018,05,35.619262038,-101.6820066,1039.52
28.29,4.1,12.56,20.42,0.33,41.65,14.0,8.58,0.3,0.0,384.78,201806,2018,06,35.619262038,-101.6820066,1039.52
28.43,3.09,14.31,21.37,0.32,42.79,14.43,6.57,0.1,0.0,392.93,201807,2018,07,35.619262038,-101.6820066,1039.52
27.31,3.3,14.12,20.72,0.34,38.3,15.75,7.35,0.3,0.0,389.15,201808,2018,08,35.619262038,-101.6820066,1039.52
22.64,3.72,12.48,17.56,0.33,34.69,8.3,8.95,0.2,0.0,366.55,201809,2018,09,35.619262038,-101.6820066,1039.52
14.17,3.53,6.83,10.5,0.43,34.66,-2.19,8.89,0.39,5.27,331.73,201810,2018,10,35.619262038,-101.6820066,1039.52
5.98,3.33,-2.67,1.65,0.39,21.89,-8.52,9.49,0.29,0.0,268.91,201811,2018,11,35.619262038,-101.6820066,1039.52
3.19,3.3,-4.74,-0.78,0.38,17.62,-6.49,11.84,0.13,0.0,262.97,201812,2018,12,35.619262038,-101.6820066,1039.52
15.67,3.73,3.56,9.62,0.35,42.79,-13.24,11.84,0.08,0.0,322.01,201813,2018,13,35.619262038,-101.6820066,1039.52
3.42,3.53,-4.93,-0.75,0.38,21.52,-8.77,9.88,0.26,0.0,260.67,201901,2019,01,35.619262038,-101.6820066,1039.52
5.31,4.16,-4.63,0.33,0.36,24.98,-8.63,11.69,0.21,0.0,273.81,201902,2019,02,35.619262038,-101.6820066,1039.52
8.4,3.84,-1.31,3.55,0.39,29.44,-10.18,16.3,0.35,0.0,289.88,201903,2019,03,35.619262038,-101.6820066,1039.52
15.44,3.84,2.22,8.83,0.37,32.25,-0.2,12.01,0.33,0.0,315.14,201904,2019,04,35.619262038,-101.6820066,1039.52
18.49,3.62,8.01,13.26,0.42,33.19,4.27,9.29,0.16,5.27,341.96,201905,2019,05,35.619262038,-101.6820066,1039.52
23.79,3.38,12.83,18.31,0.42,38.51,9.23,10.44,0.38,5.27,362.49,201906,2019,06,35.619262038,-101.6820066,1039.52
28.38,3.48,13.98,21.18,0.34,41.55,17.83,6.71,0.2,0.0,394.69,201907,2019,07,35.619262038,-101.6820066,1039.52
29.04,3.17,15.14,22.09,0.34,41.47,18.41,7.05,0.14,0.0,402.37,201908,2019,08,35.619262038,-101.6820066,1039.52
25.62,3.94,14.33,19.98,0.36,36.72,14.41,7.98,0.27,0.0,379.51,201909,2019,09,35.619262038,-101.6820066,1039.52
11.47,3.59,2.31,6.89,0.45,28.92,-6.88,8.37,0.12,5.27,301.1,201910,2019,10,35.619262038,-101.6820066,1039.52
6.25,3.46,-2.08,2.08,0.41,23.53,-8.58,11.77,0.31,0.0,272.24,201911,2019,11,35.619262038,-101.6820066,1039.52
4.73,3.23,-3.94,0.4,0.41,20.44,-6.14,7.61,0.31,0.0,260.39,201912,2019,12,35.619262038,-101.6820066,1039.52
15.08,3.6,4.37,9.73,0.39,41.55,-10.18,16.3,0.12,0.0,321.45,201913,2019,13,35.619262038,-101.6820066,1039.52
4.07,3.41,-4.7,-0.31,0.41,18.45,-7.35,8.86,0.23,0.0,257.98,202001,2020,01,35.619262038,-101.6820066,1039.52
3.83,3.82,-4.76,-0.47,0.4,24.08,-7.24,10.51,0.3,0.0,274.24,202002,2020,02,35.619262038,-101.6820066,1039.52
11.59,3.95,0.93,6.26,0.41,30.84,-1.76,10.99,0.33,0.0,301.98,202003,2020,03,35.619262038,-101.6820066,1039.52
14.41,3.99,0.55,7.48,0.34,33.92,-3.7,10.89,0.31,0.0,304.88,202004,2020,04,35.619262038,-101.6820066,1039.52
21.85,3.82,6.3,14.07,0.32,37.32,5.62,12.3,0.28,0.0,348.48,202005,2020,05,35.619262038,-101.6820066,1039.52
27.4,4.71,10.16,18.78,0.3,40.12,12.08,11.3,0.49,0.0,370.06,202006,2020,06,35.619262038,-101.6820066,1039.52
29.26,3.09,14.83,22.05,0.35,44.47,17.01,7.48,0.2,0.0,399.21,202007,2020,07,35.619262038,-101.6820066,1039.52
28.58,3.46,12.51,20.55,0.3,42.47,18.4,7.51,0.23,0.0,387.23,202008,2020,08,35.619262038,-101.6820066,1039.52
20.88,3.06,7.98,14.43,0.34,37.22,2.04,8.44,0.11,0.0,345.55,202009,2020,09,35.619262038,-101.6820066,1039.52
14.3,3.61,-0.42,6.94,0.28,35.12,-7.14,8.99,0.23,0.0,309.12,202010,2020,10,35.619262038,-101.6820066,1039.52
10.33,3.7,-0.71,4.8,0.35,28.72,-5.82,9.49,0.12,0.0,281.83,202011,2020,11,35.619262038,-101.6820066,1039.52
3.4,3.25,-6.62,-1.61,0.35,19.15,-6.41,9.52,0.16,0.0,252.35,202012,2020,12,35.619262038,-101.6820066,1039.52
15.87,3.65,3.03,9.44,0.34,44.47,-7.35,12.3,0.11,0.0,319.59,202013,2020,13,35.619262038,-101.6820066,1039.52
3.14,3.23,-5.55,-1.2,0.35,18.08,-6.2,10.6,0.16,0.34,259.54,202101,2021,01,35.619262038,-101.6820066,1039.52
0.8,3.24,-9.22,-4.21,0.34,24.76,-17.61,9.2,0.22,0.0,258.81,202102,2021,02,35.619262038,-101.6820066,1039.52
10.06,4.31,-2.7,3.68,0.36,28.36,-4.81,9.45,0.38,1.19,280.12,202103,2021,03,35.619262038,-101.6820066,1039.52
14.02,4.09,-1.63,6.19,0.3,33.38,-1.47,9.25,0.2,0.11,299.51,202104,2021,04,35.619262038,-101.6820066,1039.52
19.4,4.27,9.66,14.53,0.38,36.11,6.31,8.73,0.3,3.91,351.98,202105,2021,05,35.619262038,-101.6820066,1039.52
26.43,3.45,13.18,19.8,0.36,42.42,12.26,7.85,0.16,1.73,378.41,202106,2021,06,35.619262038,-101.6820066,1039.52
26.99,2.94,16.15,21.57,0.38,39.13,17.6,6.85,0.16,2.61,391.81,202107,2021,07,35.619262038,-101.6820066,1039.52
27.42,3.38,14.65,21.04,0.34,40.5,16.1,6.62,0.13,1.35,388.7,202108,2021,08,35.619262038,-101.6820066,1039.52
24.91,3.65,10.24,17.58,0.3,39.84,9.97,6.77,0.18,0.53,363.45,202109,2021,09,35.619262038,-101.6820066,1039.52
17.1,3.57,3.37,10.23,0.33,34.66,3.44,9.52,0.19,0.73,309.38,202110,2021,10,35.619262038,-101.6820066,1039.52
10.76,3.21,-1.76,4.5,0.3,28.88,-1.8,8.3,0.22,0.0,283.07,202111,2021,11,35.619262038,-101.6820066,1039.52
