T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
0.01,0.34,-5.94,-2.96,0.56,15.06,-12.7,1.29,0.01,5.27,249.6,201201,2012,01,40.493545758,-121.4075993,1700.49
-0.16,0.31,-4.91,-2.53,0.67,12.94,-7.48,0.99,0.05,0.0,253.78,201202,2012,02,40.493545758,-121.4075993,1700.49
0.26,0.38,-2.7,-1.22,0.77,12.83,-12.67,1.18,0.05,10.55,271.3,201203,2012,03,40.493545758,-121.4075993,1700.49
4.68,0.34,0.76,2.72,0.88,21.48,-6.69,1.11,0.04,5.27,280.82,201204,2012,04,40.493545758,-121.4075993,1700.49
9.51,0.36,2.01,5.76,0.77,25.6,-3.15,1.08,0.04,0.0,281.18,201205,2012,05,40.493545758,-121.4075993,1700.49
13.1,0.33,1.53,7.31,0.58,29.15,-1.2,1.08,0.02,0.0,291.23,201206,2012,06,40.493545758,-121.4075993,1700.49
19.2,0.42,0.94,10.07,0.44,32.75,6.18,1.15,0.02,0.0,306.52,201207,2012,07,40.493545758,-121.4075993,1700.49
20.87,0.49,-3.08,8.9,0.2,35.03,4.72,1.26,0.01,0.0,314.94,201208,2012,08,40.493545758,-121.4075993,1700.49
17.83,0.45,-3.55,7.14,0.15,29.83,5.75,1.16,0.02,0.0,294.93,201209,2012,09,40.493545758,-121.4075993,1700.49
9.7,0.4,-1.59,4.05,0.23,29.84,-4.54,1.17,0.03,0.0,283.62,201210,2012,10,40.493545758,-121.4075993,1700.49
3.34,0.35,-0.27,1.54,0.61,20.73,-7.81,1.14,0.0,10.55,278.83,201211,2012,11,40.493545758,-121.4075993,1700.49
-2.7,0.33,-4.18,-3.45,0.9,8.7,-14.27,0.99,0.04,10.55,259.55,201212,2012,12,40.493545758,-121.4075993,1700.49
8.0,0.38,-1.74,3.12,0.56,35.03,-14.27,1.29,0.0,5.27,280.6,201213,2012,13,40.493545758,-121.4075993,1700.49
-5.29,0.28,-6.1,-5.7,0.91,7.65,-18.2,1.09,0.02,0.0,240.61,201301,2013,01,40.493545758,-121.4075993,1700.49
-0.44,0.35,-4.59,-2.52,0.91,10.3,-9.75,1.18,0.03,0.0,241.62,201302,2013,02,40.493545758,-121.4075993,1700.49
3.31,0.37,-0.75,1.28,0.88,15.82,-9.47,1.15,0.02,0.0,268.59,201303,2013,03,40.493545758,-121.4075993,1700.49
5.75,0.36,-0.19,2.78,0.84,20.19,-5.38,1.14,0.03,0.0,273.17,201304,2013,04,40.493545758,-121.4075993,1700.49
9.49,0.32,1.94,5.72,0.67,23.97,-4.67,1.2,0.02,0.0,291.19,201305,2013,05,40.493545758,-121.4075993,1700.49
15.79,0.34,3.36,9.57,0.53,34.37,-0.17,1.08,0.01,0.0,308.31,201306,2013,06,40.493545758,-121.4075993,1700.49
21.7,0.41,1.65,11.68,0.44,35.41,7.55,1.12,0.01,0.0,315.99,201307,2013,07,40.493545758,-121.4075993,1700.49
18.48,0.37,0.41,9.44,0.25,34.83,6.21,1.07,0.01,0.0,309.81,201308,2013,08,40.493545758,-121.4075993,1700.49
13.89,0.37,1.4,7.65,0.33,30.15,-1.02,1.2,0.02,0.0,305.95,201309,2013,09,40.493545758,-121.4075993,1700.49
7.56,0.39,-4.88,1.33,0.45,22.35,-3.38,1.33,0.02,0.0,265.33,201310,2013,10,40.493545758,-121.4075993,1700.49
3.57,0.36,-4.68,-0.56,0.46,17.85,-6.07,1.22,0.03,0.0,258.85,201311,2013,11,40.493545758,-121.4075993,1700.49
-0.77,0.32,-8.44,-4.6,0.49,14.24,-15.72,1.3,0.04,0.0,238.88,201312,2013,12,40.493545758,-121.4075993,1700.49
7.8,0.35,-1.74,3.03,0.59,35.41,-18.2,1.33,0.01,0.0,276.7,201313,2013,13,40.493545758,-121.4075993,1700.49
2.47,0.32,-6.77,-2.16,0.48,13.8,-6.65,1.22,0.03,0.0,249.36,201401,2014,01,40.493545758,-121.4075993,1700.49
1.2,0.36,-2.34,-0.57,0.66,14.0,-8.56,1.09,0.03,5.27,265.69,201402,2014,02,40.493545758,-121.4075993,1700.49
2.94,0.37,-1.52,0.71,0.81,15.51,-4.4,1.21,0.07,5.27,268.11,201403,2014,03,40.493545758,-121.4075993,1700.49
5.87,0.36,0.43,3.15,0.81,18.65,-6.37,1.19,0.01,0.0,274.96,201404,2014,04,40.493545758,-121.4075993,1700.49
9.96,0.36,1.13,5.55,0.66,24.5,-2.88,1.21,0.02,0.0,285.37,201405,2014,05,40.493545758,-121.4075993,1700.49
16.04,0.37,0.31,8.17,0.49,33.91,1.5,1.09,0.02,0.0,299.59,201406,2014,06,40.493545758,-121.4075993,1700.49
22.28,0.37,1.69,11.98,0.31,35.67,6.37,1.22,0.01,0.0,333.11,201407,2014,07,40.493545758,-121.4075993,1700.49
18.96,0.4,1.07,10.01,0.3,31.28,7.4,1.15,0.02,0.0,317.37,201408,2014,08,40.493545758,-121.4075993,1700.49
16.05,0.4,-0.13,7.96,0.24,30.8,3.05,1.3,0.02,0.0,306.12,201409,2014,09,40.493545758,-121.4075993,1700.49
10.26,0.36,-0.02,5.12,0.49,28.4,-1.72,1.12,0.02,0.0,287.89,201410,2014,10,40.493545758,-121.4075993,1700.49
