T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
7.61,3.47,-6.02,0.8,0.32,22.92,-3.54,11.25,0.13,0.0,261.83,201201,2012,01,32.140894638,-104.5529688,1179.29
8.16,3.61,-5.38,1.39,0.27,25.21,-3.54,12.16,0.2,0.0,268.38,201202,2012,02,32.140894638,-104.5529688,1179.29
15.21,3.81,-7.2,4.01,0.19,32.73,-1.33,10.62,0.47,0.0,285.23,201203,2012,03,32.140894638,-104.5529688,1179.29
20.44,3.51,-3.2,8.62,0.19,37.37,4.44,10.02,0.19,0.0,310.43,201204,2012,04,32.140894638,-104.5529688,1179.29
22.58,3.43,1.57,12.07,0.3,36.84,8.47,8.65,0.22,0.0,325.59,201205,2012,05,32.140894638,-104.5529688,1179.29
29.11,3.09,6.59,17.85,0.22,41.01,18.33,8.26,0.29,0.0,358.65,201206,2012,06,32.140894638,-104.5529688,1179.29
27.34,2.77,13.77,20.56,0.32,37.51,18.8,6.03,0.31,0.0,387.2,201207,2012,07,32.140894638,-104.5529688,1179.29
28.31,2.46,12.27,20.3,0.29,40.19,16.87,6.69,0.12,0.0,390.08,201208,2012,08,32.140894638,-104.5529688,1179.29
23.87,2.44,8.29,16.08,0.29,38.59,11.5,8.18,0.18,0.0,362.07,201209,2012,09,32.140894638,-104.5529688,1179.29
18.1,2.82,2.85,10.48,0.32,34.32,1.28,7.07,0.25,0.0,312.84,201210,2012,10,32.140894638,-104.5529688,1179.29
13.15,2.38,-0.88,6.13,0.27,28.31,-1.58,9.73,0.17,0.0,286.57,201211,2012,11,32.140894638,-104.5529688,1179.29
7.99,3.48,-6.58,0.71,0.23,25.51,-4.7,13.6,0.18,0.0,263.87,201212,2012,12,32.140894638,-104.5529688,1179.29
18.51,3.11,1.37,9.94,0.27,41.01,-4.7,13.6,0.12,0.0,317.87,201213,2012,13,32.140894638,-104.5529688,1179.29
4.9,3.0,-6.1,-0.6,0.33,24.17,-7.19,12.05,0.16,0.0,258.22,201301,2013,01,32.140894638,-104.5529688,1179.29
8.09,3.83,-7.82,0.13,0.27,21.33,-3.21,11.1,0.09,0.0,254.03,201302,2013,02,32.140894638,-104.5529688,1179.29
14.2,3.79,-6.97,3.62,0.2,30.01,-2.04,11.8,0.44,0.0,285.54,201303,2013,03,32.140894638,-104.5529688,1179.29
18.01,3.79,-5.37,6.33,0.12,35.2,1.21,10.32,0.29,0.0,299.23,201304,2013,04,32.140894638,-104.5529688,1179.29
22.58,3.77,-0.97,10.8,0.17,37.65,1.95,8.23,0.16,0.0,326.78,201305,2013,05,32.140894638,-104.5529688,1179.29
29.01,3.41,9.48,19.25,0.21,42.25,17.58,7.67,0.09,0.0,374.46,201306,2013,06,32.140894638,-104.5529688,1179.29
26.4,2.77,13.73,20.06,0.35,38.16,15.91,7.0,0.09,5.27,386.89,201307,2013,07,32.140894638,-104.5529688,1179.29
27.59,2.56,13.34,20.47,0.33,38.25,18.9,7.73,0.23,0.0,385.02,201308,2013,08,32.140894638,-104.5529688,1179.29
23.17,2.71,12.3,17.73,0.41,35.79,11.01,6.01,0.23,5.27,364.03,201309,2013,09,32.140894638,-104.5529688,1179.29
16.67,2.69,3.46,10.07,0.38,33.08,2.7,7.0,0.14,0.0,307.67,201310,2013,10,32.140894638,-104.5529688,1179.29
