T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
-0.56,2.32,-5.54,-3.06,0.48,13.53,-11.72,7.37,0.15,5.27,246.37,201201,2012,01,41.887279028,-121.3744818,1419.95
0.1,2.44,-4.51,-2.2,0.52,15.97,-7.2,7.88,0.2,0.0,249.15,201202,2012,02,41.887279028,-121.3744818,1419.95
1.69,3.52,-2.53,-0.42,0.58,16.37,-10.59,8.45,0.14,5.27,265.33,201203,2012,03,41.887279028,-121.3744818,1419.95
6.51,2.52,0.73,3.62,0.6,25.47,-5.99,7.02,0.34,0.0,276.6,201204,2012,04,41.887279028,-121.3744818,1419.95
11.38,2.34,1.22,6.3,0.54,28.74,-3.67,7.19,0.27,0.0,276.31,201205,2012,05,41.887279028,-121.3744818,1419.95
14.12,2.39,3.04,8.58,0.49,29.9,-0.6,5.73,0.04,0.0,285.04,201206,2012,06,41.887279028,-121.3744818,1419.95
20.59,1.85,5.98,13.29,0.41,33.45,5.87,5.52,0.04,0.0,304.0,201207,2012,07,41.887279028,-121.3744818,1419.95
21.3,1.64,3.57,12.43,0.37,35.19,6.58,5.98,0.07,0.0,308.12,201208,2012,08,41.887279028,-121.3744818,1419.95
18.01,1.58,0.57,9.3,0.34,30.76,4.86,5.09,0.16,0.0,288.41,201209,2012,09,41.887279028,-121.3744818,1419.95
9.53,1.9,-0.92,4.3,0.37,29.31,-4.24,6.07,0.03,0.0,277.74,201210,2012,10,41.887279028,-121.3744818,1419.95
3.87,2.38,-0.24,1.81,0.41,21.86,-5.2,8.44,0.2,0.0,273.84,201211,2012,11,41.887279028,-121.3744818,1419.95
-2.49,2.52,-4.31,-3.4,0.48,8.16,-20.19,10.62,0.2,0.0,254.8,201212,2012,12,41.887279028,-121.3744818,1419.95
8.69,2.28,-0.24,4.23,0.46,35.19,-20.19,10.62,0.03,0.0,275.56,201213,2012,13,41.887279028,-121.3744818,1419.95
-4.36,2.12,-6.65,-5.5,0.51,8.15,-19.65,5.58,0.11,0.0,244.73,201301,2013,01,41.887279028,-121.3744818,1419.95
0.02,1.91,-5.0,-2.49,0.52,13.26,-7.97,5.85,0.27,0.0,238.53,201302,2013,02,41.887279028,-121.3744818,1419.95
4.37,2.22,-1.81,1.27,0.52,21.56,-6.29,8.28,0.1,0.0,262.45,201303,2013,03,41.887279028,-121.3744818,1419.95
6.76,2.66,-1.22,2.77,0.52,24.31,-5.42,7.27,0.21,0.0,266.45,201304,2013,04,41.887279028,-121.3744818,1419.95
11.42,2.36,1.69,6.55,0.47,28.21,-3.63,7.18,0.2,0.0,285.72,201305,2013,05,41.887279028,-121.3744818,1419.95
16.84,2.32,4.6,10.72,0.42,36.4,1.89,6.43,0.16,0.0,300.84,201306,2013,06,41.887279028,-121.3744818,1419.95
23.12,1.81,4.61,13.87,0.37,36.26,9.53,5.02,0.12,0.0,315.23,201307,2013,07,41.887279028,-121.3744818,1419.95
20.04,1.76,5.37,12.7,0.35,34.83,6.48,5.62,0.1,0.0,310.17,201308,2013,08,41.887279028,-121.3744818,1419.95
14.8,2.34,3.26,9.03,0.36,31.34,-1.33,7.72,0.21,0.0,300.52,201309,2013,09,41.887279028,-121.3744818,1419.95
7.03,1.82,-3.42,1.8,0.38,22.58,-3.37,6.84,0.07,0.0,257.05,201310,2013,10,41.887279028,-121.3744818,1419.95
3.03,1.9,-3.63,-0.31,0.38,18.8,-7.89,6.28,0.23,0.0,255.38,201311,2013,11,41.887279028,-121.3744818,1419.95
-1.76,1.79,-7.38,-4.57,0.39,10.23,-16.08,6.21,0.09,0.0,243.09,201312,2013,12,41.887279028,-121.3744818,1419.95
8.49,2.09,-0.78,3.86,0.43,36.4,-19.65,8.28,0.07,0.0,273.55,201313,2013,13,41.887279028,-121.3744818,1419.95
1.58,1.98,-5.66,-2.04,0.39,14.12,-5.86,6.91,0.2,0.0,248.56,201401,2014,01,41.887279028,-121.3744818,1419.95
1.91,2.55,-1.89,0.01,0.47,17.3,-6.3,8.84,0.18,5.27,261.41,201402,2014,02,41.887279028,-121.3744818,1419.95
4.05,2.77,-2.19,0.94,0.52,18.58,-5.8,7.22,0.22,0.0,261.93,201403,2014,03,41.887279028,-121.3744818,1419.95
7.51,2.37,-0.62,3.44,0.51,24.5,-4.54,6.17,0.2,0.0,270.74,201404,2014,04,41.887279028,-121.3744818,1419.95
12.01,2.41,1.31,6.66,0.47,28.56,-2.11,5.95,0.05,0.0,280.89,201405,2014,05,41.887279028,-121.3744818,1419.95
16.34,2.23,2.63,9.48,0.41,32.66,1.68,6.17,0.14,0.0,292.08,201406,2014,06,41.887279028,-121.3744818,1419.95
23.51,1.89,6.6,15.05,0.36,36.05,5.96,5.4,0.09,0.0,333.3,201407,2014,07,41.887279028,-121.3744818,1419.95
20.5,1.79,5.58,13.04,0.35,33.19,7.47,5.44,0.14,0.0,321.3,201408,2014,08,41.887279028,-121.3744818,1419.95
16.68,2.09,1.98,9.33,0.34,31.55,3.99,6.24,0.15,0.0,301.41,201409,2014,09,41.887279028,-121.3744818,1419.95
10.74,2.06,1.02,5.88,0.38,28.44,-1.56,9.58,0.15,0.0,282.7,201410,2014,10,41.887279028,-121.3744818,1419.95
3.93,2.25,-1.13,1.4,0.43,19.24,-6.93,7.12,0.25,0.0,270.91,201411,2014,11,41.887279028,-121.3744818,1419.95
1.16,2.66,-0.4,0.38,0.55,9.6,-12.65,7.65,0.14,5.27,270.38,201412,2014,12,41.887279028,-121.3744818,1419.95
10.05,2.25,0.62,5.33,0.43,36.05,-12.65,9.58,0.05,0.0,283.13,201413,2014,13,41.887279028,-121.3744818,1419.95
2.1,1.67,-1.67,0.22,0.58,15.65,-9.51,5.02,0.12,0.0,255.27,201501,2015,01,41.887279028,-121.3744818,1419.95
4.55,2.57,-0.99,1.78,0.61,17.47,-6.1,10.05,0.13,0.0,261.21,201502,2015,02,41.887279028,-121.3744818,1419.95
7.16,2.12,-0.51,3.33,0.59,22.12,-6.02,7.64,0.14,0.0,266.91,201503,2015,03,41.887279028,-121.3744818,1419.95
6.76,2.35,-1.54,2.61,0.56,23.33,-5.09,6.88,0.31,0.0,263.3,201504,2015,04,41.887279028,-121.3744818,1419.95
11.6,1.96,3.68,7.64,0.55,26.41,-0.89,5.61,0.11,0.0,300.3,201505,2015,05,41.887279028,-121.3744818,1419.95
19.93,1.95,5.85,12.89,0.47,36.33,5.24,5.06,0.19,0.0,312.03,201506,2015,06,41.887279028,-121.3744818,1419.95
21.01,1.84,7.62,14.32,0.41,35.99,6.39,4.79,0.2,0.0,329.4,201507,2015,07,41.887279028,-121.3744818,1419.95
20.4,1.94,4.55,12.47,0.37,35.92,7.62,6.98,0.12,0.0,311.95,201508,2015,08,41.887279028,-121.3744818,1419.95
15.94,1.77,0.98,8.46,0.36,33.87,2.4,6.49,0.01,0.0,298.35,201509,2015,09,41.887279028,-121.3744818,1419.95
12.44,1.83,2.49,7.46,0.37,28.8,1.51,6.66,0.12,0.0,290.35,201510,2015,10,41.887279028,-121.3744818,1419.95
0.97,2.1,-3.97,-1.5,0.39,15.44,-11.42,5.77,0.18,0.0,255.4,201511,2015,11,41.887279028,-121.3744818,1419.95
-2.89,2.74,-3.87,-3.38,0.47,8.33,-18.95,8.35,0.38,5.27,262.62,201512,2015,12,41.887279028,-121.3744818,1419.95
10.03,2.06,1.08,5.55,0.48,36.33,-18.95,10.05,0.01,0.0,284.12,201513,2015,13,41.887279028,-121.3744818,1419.95
-2.3,2.47,-3.31,-2.81,0.57,7.83,-23.1,6.95,0.25,5.27,265.13,201601,2016,01,41.887279028,-121.3744818,1419.95
2.81,2.17,-1.1,0.86,0.62,16.81,-12.25,8.77,0.09,0.0,260.2,201602,2016,02,41.887279028,-121.3744818,1419.95
4.08,3.14,0.12,2.1,0.65,18.19,-5.4,9.04,0.06,5.27,271.25,201603,2016,03,41.887279028,-121.3744818,1419.95
9.29,2.41,1.74,5.51,0.62,25.8,-3.49,7.76,0.17,0.0,281.51,201604,2016,04,41.887279028,-121.3744818,1419.95
11.34,2.31,3.81,7.58,0.59,27.62,0.54,5.46,0.05,0.0,291.68,201605,2016,05,41.887279028,-121.3744818,1419.95
16.66,2.12,5.15,10.9,0.52,32.25,0.96,5.29,0.11,0.0,300.61,201606,2016,06,41.887279028,-121.3744818,1419.95
19.8,1.97,5.33,12.56,0.44,35.78,4.58,5.02,0.05,0.0,302.78,201607,2016,07,41.887279028,-121.3744818,1419.95
20.73,1.77,2.85,11.8,0.38,34.65,7.07,5.14,0.06,0.0,304.62,201608,2016,08,41.887279028,-121.3744818,1419.95
14.69,1.94,0.62,7.65,0.36,29.55,0.89,5.5,0.14,0.0,288.29,201609,2016,09,41.887279028,-121.3744818,1419.95
8.23,2.55,2.76,5.49,0.43,23.94,-1.95,9.84,0.16,5.27,288.14,201610,2016,10,41.887279028,-121.3744818,1419.95
4.26,2.36,-0.0,2.13,0.46,21.25,-5.01,5.99,0.33,0.0,271.73,201611,2016,11,41.887279028,-121.3744818,1419.95
-3.26,2.04,-5.56,-4.41,0.54,5.47,-15.05,6.45,0.19,0.0,240.0,201612,2016,12,41.887279028,-121.3744818,1419.95
8.87,2.27,1.04,4.95,0.52,35.78,-23.1,9.84,0.05,0.0,280.55,201613,2016,13,41.887279028,-121.3744818,1419.95
-4.7,2.53,-5.95,-5.33,0.61,5.52,-23.31,6.59,0.09,5.27,249.37,201701,2017,01,41.887279028,-121.3744818,1419.95
0.69,3.41,-2.08,-0.7,0.68,13.0,-9.24,8.78,0.19,5.27,269.39,201702,2017,02,41.887279028,-121.3744818,1419.95
4.33,2.84,0.67,2.5,0.7,18.82,-6.35,7.68,0.36,0.0,275.4,201703,2017,03,41.887279028,-121.3744818,1419.95
5.24,2.94,-0.38,2.43,0.7,18.73,-5.65,8.2,0.41,0.0,273.84,201704,2017,04,41.887279028,-121.3744818,1419.95
12.21,2.31,3.51,7.87,0.65,28.48,-1.89,7.69,0.15,0.0,282.23,201705,2017,05,41.887279028,-121.3744818,1419.95
