T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
-0.63,4.1,-3.86,-2.24,0.72,16.72,-12.25,10.73,0.11,0.0,263.5,201201,2012,01,39.797156428,-89.64513397,183.83
1.43,3.73,-2.23,-0.4,0.73,15.3,-11.36,11.75,0.14,0.0,272.84,201202,2012,02,39.797156428,-89.64513397,183.83
12.51,4.16,8.1,10.31,0.72,26.76,-6.1,10.52,0.36,0.0,318.19,201203,2012,03,39.797156428,-89.64513397,183.83
13.16,3.83,7.08,10.12,0.68,28.87,-1.94,9.85,0.43,5.27,321.5,201204,2012,04,39.797156428,-89.64513397,183.83
20.07,2.94,13.46,16.76,0.65,32.84,7.05,8.8,0.2,0.0,346.64,201205,2012,05,39.797156428,-89.64513397,183.83
23.96,2.91,13.54,18.75,0.5,41.93,7.03,7.2,0.29,0.0,367.74,201206,2012,06,39.797156428,-89.64513397,183.83
30.6,2.27,15.97,23.29,0.36,42.44,18.32,5.86,0.27,0.0,412.24,201207,2012,07,39.797156428,-89.64513397,183.83
24.82,2.08,13.33,19.07,0.45,38.75,13.02,5.48,0.16,0.0,377.47,201208,2012,08,39.797156428,-89.64513397,183.83
18.74,2.51,12.39,15.57,0.55,32.38,4.01,8.93,0.13,5.27,349.88,201209,2012,09,39.797156428,-89.64513397,183.83
10.96,3.58,5.67,8.32,0.61,26.88,-2.9,9.01,0.32,5.27,311.82,201210,2012,10,39.797156428,-89.64513397,183.83
4.28,2.7,0.41,2.35,0.66,22.66,-6.68,10.7,0.23,0.0,276.75,201211,2012,11,39.797156428,-89.64513397,183.83
2.41,3.54,-0.18,1.12,0.7,21.35,-9.82,14.16,0.22,0.0,283.84,201212,2012,12,39.797156428,-89.64513397,183.83
13.58,3.2,7.01,10.3,0.61,42.44,-12.25,14.16,0.11,0.0,325.45,201213,2012,13,39.797156428,-89.64513397,183.83
-2.09,3.96,-5.34,-3.71,0.73,17.15,-15.2,9.82,0.35,0.0,257.3,201301,2013,01,39.797156428,-89.64513397,183.83
-1.63,4.07,-4.97,-3.31,0.78,10.83,-15.98,10.13,0.15,0.0,262.35,201302,2013,02,39.797156428,-89.64513397,183.83
1.04,3.55,-2.58,-0.77,0.81,16.37,-9.87,9.06,0.09,0.0,278.24,201303,2013,03,39.797156428,-89.64513397,183.83
10.3,3.88,6.02,8.16,0.84,27.67,-5.73,9.78,0.16,5.27,312.84,201304,2013,04,39.797156428,-89.64513397,183.83
17.94,3.28,14.26,16.11,0.86,29.3,1.29,8.03,0.55,5.27,355.52,201305,2013,05,39.797156428,-89.64513397,183.83
21.73,2.63,18.6,20.16,0.85,31.33,8.73,6.64,0.3,5.27,382.46,201306,2013,06,39.797156428,-89.64513397,183.83
22.48,2.14,18.69,20.58,0.75,31.85,9.59,5.47,0.15,0.0,379.5,201307,2013,07,39.797156428,-89.64513397,183.83
23.18,1.79,18.04,20.61,0.59,36.06,10.97,4.87,0.09,0.0,377.62,201308,2013,08,39.797156428,-89.64513397,183.83
21.32,2.45,13.51,17.41,0.48,36.32,7.82,6.79,0.3,0.0,358.79,201309,2013,09,39.797156428,-89.64513397,183.83
12.66,2.98,6.88,9.77,0.51,30.8,-3.92,7.12,0.19,5.27,321.42,201310,2013,10,39.797156428,-89.64513397,183.83
3.44,3.7,-1.22,1.11,0.62,22.51,-11.24,11.63,0.4,0.0,273.63,201311,2013,11,39.797156428,-89.64513397,183.83
-3.13,3.43,-5.94,-4.53,0.64,17.64,-22.68,7.63,0.62,0.0,259.73,201312,2013,12,39.797156428,-89.64513397,183.83
10.66,3.15,6.39,8.53,0.7,36.32,-22.68,11.63,0.09,0.0,318.59,201313,2013,13,39.797156428,-89.64513397,183.83
-6.92,4.8,-10.22,-8.57,0.7,9.3,-27.02,11.76,0.88,0.0,242.78,201401,2014,01,39.797156428,-89.64513397,183.83
-7.4,3.41,-9.93,-8.67,0.73,17.15,-24.95,12.73,0.2,0.0,248.91,201402,2014,02,39.797156428,-89.64513397,183.83
1.61,3.77,-2.88,-0.63,0.76,19.53,-18.01,9.83,0.14,0.0,268.67,201403,2014,03,39.797156428,-89.64513397,183.83
11.13,3.83,6.09,8.61,0.77,25.95,-4.86,10.2,0.09,5.27,313.55,201404,2014,04,39.797156428,-89.64513397,183.83
