T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
-0.77,1.53,-2.74,-1.76,0.88,11.83,-12.95,4.18,0.17,0.0,265.32,201201,2012,01,39.815573668,-77.23246758,281.76
1.49,1.49,-1.03,0.23,0.87,14.23,-8.39,4.55,0.09,0.0,272.49,201202,2012,02,39.815573668,-77.23246758,281.76
9.31,1.34,6.12,7.72,0.83,25.51,-5.22,3.96,0.12,0.0,307.73,201203,2012,03,39.815573668,-77.23246758,281.76
9.52,1.13,4.51,7.02,0.75,27.12,-1.64,2.93,0.09,0.0,303.51,201204,2012,04,39.815573668,-77.23246758,281.76
18.51,0.84,14.69,16.6,0.73,29.42,4.14,2.43,0.01,5.27,363.63,201205,2012,05,39.815573668,-77.23246758,281.76
20.6,0.91,14.55,17.57,0.62,35.01,9.87,2.36,0.11,0.0,366.81,201206,2012,06,39.815573668,-77.23246758,281.76
25.82,0.76,17.8,21.81,0.48,38.24,16.06,2.02,0.02,5.27,406.91,201207,2012,07,39.815573668,-77.23246758,281.76
22.95,0.71,16.01,19.48,0.51,33.3,12.55,2.03,0.07,5.27,388.44,201208,2012,08,39.815573668,-77.23246758,281.76
18.3,0.81,12.62,15.46,0.54,32.31,4.48,3.37,0.04,5.27,356.21,201209,2012,09,39.815573668,-77.23246758,281.76
11.82,0.91,8.34,10.08,0.62,25.95,-1.47,4.38,0.03,5.27,328.76,201210,2012,10,39.815573668,-77.23246758,281.76
2.67,0.88,-0.51,1.08,0.75,16.87,-5.8,2.58,0.06,0.0,272.38,201211,2012,11,39.815573668,-77.23246758,281.76
2.04,1.11,0.5,1.27,0.77,18.02,-10.85,3.59,0.16,5.27,287.7,201212,2012,12,39.815573668,-77.23246758,281.76
11.9,1.03,7.62,9.76,0.7,38.24,-12.95,4.55,0.01,5.27,326.98,201213,2012,13,39.815573668,-77.23246758,281.76
-1.77,1.34,-3.56,-2.67,0.81,17.49,-14.45,4.99,0.15,0.0,269.12,201301,2013,01,39.815573668,-77.23246758,281.76
-1.97,1.59,-4.52,-3.24,0.84,9.14,-12.3,4.51,0.05,0.0,265.41,201302,2013,02,39.815573668,-77.23246758,281.76
1.05,1.52,-2.17,-0.56,0.83,13.06,-9.3,3.86,0.13,0.0,277.52,201303,2013,03,39.815573668,-77.23246758,281.76
9.97,1.2,5.73,7.85,0.77,25.9,-5.21,3.15,0.32,0.0,309.25,201304,2013,04,39.815573668,-77.23246758,281.76
15.4,0.95,11.15,13.27,0.7,30.9,-0.4,2.63,0.05,0.0,340.56,201305,2013,05,39.815573668,-77.23246758,281.76
21.37,0.9,16.35,18.87,0.58,32.47,8.44,2.43,0.16,5.27,379.58,201306,2013,06,39.815573668,-77.23246758,281.76
24.37,0.82,18.54,21.45,0.51,35.52,12.53,1.87,0.12,0.0,398.67,201307,2013,07,39.815573668,-77.23246758,281.76
21.98,0.73,15.55,18.76,0.48,32.08,9.59,1.98,0.1,0.0,381.59,201308,2013,08,39.815573668,-77.23246758,281.76
18.05,0.78,10.02,14.04,0.44,34.06,3.77,2.13,0.16,0.0,348.19,201309,2013,09,39.815573668,-77.23246758,281.76
12.48,0.84,8.32,10.4,0.62,30.58,-2.61,2.55,0.11,5.27,326.72,201310,2013,10,39.815573668,-77.23246758,281.76
2.92,1.08,-0.87,1.03,0.66,18.93,-13.02,2.89,0.2,0.0,277.77,201311,2013,11,39.815573668,-77.23246758,281.76
-0.93,1.01,-2.3,-1.62,0.76,19.15,-13.61,3.15,0.05,5.27,276.36,201312,2013,12,39.815573668,-77.23246758,281.76
10.31,1.06,6.08,8.2,0.66,35.52,-14.45,4.99,0.05,0.0,321.27,201313,2013,13,39.815573668,-77.23246758,281.76
-5.74,1.54,-8.08,-6.92,0.8,7.54,-19.6,4.12,0.02,0.0,247.06,201401,2014,01,39.815573668,-77.23246758,281.76
-5.2,1.4,-6.97,-6.09,0.83,10.86,-25.48,4.35,0.15,5.27,252.2,201402,2014,02,39.815573668,-77.23246758,281.76
0.24,1.52,-3.14,-1.45,0.83,17.78,-13.99,4.8,0.19,0.0,271.74,201403,2014,03,39.815573668,-77.23246758,281.76
