T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
1.09,2.59,-9.28,-4.1,0.41,13.32,-6.41,10.33,0.22,0.0,234.38,201201,2012,01,35.707273248,-109.5599515,2018.76
1.3,3.07,-8.06,-3.38,0.4,14.19,-7.75,9.74,0.02,0.0,248.81,201202,2012,02,35.707273248,-109.5599515,2018.76
5.58,3.46,-8.81,-1.61,0.36,23.26,-7.57,10.38,0.16,0.0,245.38,201203,2012,03,35.707273248,-109.5599515,2018.76
11.69,3.34,-6.6,2.55,0.24,29.62,-3.25,11.04,0.05,0.0,277.2,201204,2012,04,35.707273248,-109.5599515,2018.76
16.94,3.48,-7.89,4.53,0.16,31.4,1.55,11.8,0.27,0.0,273.45,201205,2012,05,35.707273248,-109.5599515,2018.76
23.34,2.94,-5.31,9.01,0.11,36.47,10.05,7.9,0.11,0.0,308.45,201206,2012,06,35.707273248,-109.5599515,2018.76
23.22,2.31,9.72,16.47,0.32,34.06,13.53,5.97,0.05,0.0,368.12,201207,2012,07,35.707273248,-109.5599515,2018.76
23.12,2.01,8.99,16.05,0.34,34.53,11.73,6.06,0.09,0.0,359.67,201208,2012,08,35.707273248,-109.5599515,2018.76
19.1,2.32,2.61,10.86,0.29,31.55,6.36,7.27,0.06,0.0,318.43,201209,2012,09,35.707273248,-109.5599515,2018.76
12.41,2.6,-5.31,3.55,0.22,27.29,-4.13,9.2,0.4,0.0,265.32,201210,2012,10,35.707273248,-109.5599515,2018.76
6.51,2.2,-7.05,-0.27,0.28,21.46,-8.59,9.98,0.21,0.0,246.44,201211,2012,11,35.707273248,-109.5599515,2018.76
-0.3,2.76,-8.13,-4.21,0.33,17.69,-11.99,8.98,0.06,0.0,245.62,201212,2012,12,35.707273248,-109.5599515,2018.76
12.02,2.76,-3.74,4.15,0.29,36.47,-11.99,11.8,0.02,0.0,282.73,201213,2012,13,35.707273248,-109.5599515,2018.76
-2.19,2.7,-9.95,-6.07,0.41,13.23,-18.61,9.56,0.02,0.0,239.78,201301,2013,01,35.707273248,-109.5599515,2018.76
-0.85,3.22,-9.91,-5.38,0.42,11.8,-11.12,10.88,0.05,0.0,229.78,201302,2013,02,35.707273248,-109.5599515,2018.76
5.89,3.12,-6.96,-0.53,0.4,22.55,-6.41,8.72,0.26,0.0,254.61,201303,2013,03,35.707273248,-109.5599515,2018.76
9.51,3.8,-6.86,1.33,0.34,26.73,-7.04,12.95,0.11,0.0,261.52,201304,2013,04,35.707273248,-109.5599515,2018.76
15.38,3.45,-6.14,4.62,0.18,28.67,-0.81,8.58,0.29,0.0,285.21,201305,2013,05,35.707273248,-109.5599515,2018.76
23.55,3.09,-5.19,9.18,0.12,38.09,7.7,7.23,0.2,0.0,317.34,201306,2013,06,35.707273248,-109.5599515,2018.76
23.27,2.29,10.08,16.68,0.32,34.79,14.05,7.09,0.05,0.0,368.83,201307,2013,07,35.707273248,-109.5599515,2018.76
21.23,2.05,9.83,15.53,0.39,32.2,10.81,6.59,0.05,0.0,355.9,201308,2013,08,35.707273248,-109.5599515,2018.76
17.92,2.58,6.26,12.09,0.41,31.62,-0.43,11.55,0.05,0.0,318.82,201309,2013,09,35.707273248,-109.5599515,2018.76
8.78,2.94,-3.8,2.49,0.39,23.99,-3.74,9.97,0.29,0.0,254.7,201310,2013,10,35.707273248,-109.5599515,2018.76
4.35,2.7,-4.01,0.17,0.41,19.35,-6.19,9.59,0.08,0.0,256.12,201311,2013,11,35.707273248,-109.5599515,2018.76
-0.9,2.58,-8.74,-4.82,0.44,11.3,-14.63,9.77,0.14,0.0,232.84,201312,2013,12,35.707273248,-109.5599515,2018.76
10.55,2.88,-2.9,3.83,0.35,38.09,-18.61,12.95,0.02,0.0,281.63,201313,2013,13,35.707273248,-109.5599515,2018.76
1.03,2.5,-9.92,-4.45,0.42,13.05,-10.22,10.38,0.09,0.0,233.66,201401,2014,01,35.707273248,-109.5599515,2018.76
3.43,2.94,-6.61,-1.6,0.41,18.85,-6.83,11.52,0.12,0.0,253.91,201402,2014,02,35.707273248,-109.5599515,2018.76
5.94,3.41,-6.89,-0.47,0.41,18.77,-5.85,12.54,0.3,0.0,252.77,201403,2014,03,35.707273248,-109.5599515,2018.76
9.35,3.88,-6.7,1.32,0.34,25.16,-3.99,11.55,0.16,0.0,270.6,201404,2014,04,35.707273248,-109.5599515,2018.76
14.44,3.52,-4.97,4.73,0.24,31.82,-2.27,9.53,0.03,0.0,288.56,201405,2014,05,35.707273248,-109.5599515,2018.76
21.79,3.71,-5.84,7.98,0.13,34.56,7.72,10.38,0.49,0.0,303.41,201406,2014,06,35.707273248,-109.5599515,2018.76
23.67,2.38,8.96,16.31,0.29,35.12,14.72,5.72,0.27,0.0,366.09,201407,2014,07,35.707273248,-109.5599515,2018.76
20.76,2.31,7.65,14.21,0.37,32.45,10.18,6.66,0.12,0.0,340.0,201408,2014,08,35.707273248,-109.5599515,2018.76
