T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
5.16,2.3,-9.16,-1.99,0.34,18.76,-3.9,11.49,0.08,0.0,250.66,201201,2012,01,36.415354658,-113.6682797,1296.22
5.38,2.6,-6.37,-0.49,0.37,18.9,-3.42,8.91,0.12,0.0,258.16,201202,2012,02,36.415354658,-113.6682797,1296.22
9.76,3.24,-5.52,2.12,0.36,25.23,-4.82,11.38,0.16,0.0,268.21,201203,2012,03,36.415354658,-113.6682797,1296.22
14.84,3.02,-4.29,5.28,0.31,33.94,-1.26,9.86,0.18,0.0,288.6,201204,2012,04,36.415354658,-113.6682797,1296.22
21.08,3.29,-6.67,7.2,0.16,35.54,5.44,10.8,0.24,0.0,286.36,201205,2012,05,36.415354658,-113.6682797,1296.22
26.36,3.41,-5.95,10.2,0.09,38.37,9.94,8.24,0.1,0.0,307.4,201206,2012,06,36.415354658,-113.6682797,1296.22
27.48,2.36,8.26,17.87,0.26,42.11,15.47,6.45,0.23,0.0,374.39,201207,2012,07,36.415354658,-113.6682797,1296.22
27.76,1.91,12.33,20.05,0.37,39.85,17.31,5.19,0.06,0.0,379.22,201208,2012,08,36.415354658,-113.6682797,1296.22
23.64,1.96,6.15,14.9,0.36,34.69,11.58,7.7,0.02,0.0,337.3,201209,2012,09,36.415354658,-113.6682797,1296.22
16.46,2.29,-1.21,7.62,0.34,32.15,0.62,8.31,0.11,0.0,289.35,201210,2012,10,36.415354658,-113.6682797,1296.22
10.58,2.34,-5.02,2.78,0.3,26.12,-3.88,9.09,0.04,0.0,274.6,201211,2012,11,36.415354658,-113.6682797,1296.22
4.05,2.26,-4.52,-0.24,0.36,19.76,-6.64,8.52,0.05,0.0,264.3,201212,2012,12,36.415354658,-113.6682797,1296.22
16.08,2.58,-1.8,7.14,0.3,42.11,-6.64,11.49,0.02,0.0,298.39,201213,2012,13,36.415354658,-113.6682797,1296.22
