T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
6.3,2.22,-6.6,-0.15,0.48,21.61,-4.54,7.3,0.04,0.0,244.01,201201,2012,01,34.622377718,-111.8147857,1343.05
6.88,2.09,-4.88,1.0,0.48,21.63,-4.23,7.8,0.14,0.0,250.59,201202,2012,02,34.622377718,-111.8147857,1343.05
9.89,2.45,-5.22,2.33,0.47,25.87,-6.85,8.09,0.13,0.0,247.36,201203,2012,03,34.622377718,-111.8147857,1343.05
15.73,2.31,-3.26,6.24,0.41,33.8,-1.66,7.2,0.05,0.0,276.88,201204,2012,04,34.622377718,-111.8147857,1343.05
21.2,2.66,-5.34,7.93,0.26,37.35,5.48,8.16,0.16,0.0,278.04,201205,2012,05,34.622377718,-111.8147857,1343.05
27.05,2.56,-3.08,11.98,0.17,39.06,14.0,6.76,0.1,0.0,306.39,201206,2012,06,34.622377718,-111.8147857,1343.05
26.86,1.88,11.16,19.01,0.38,40.14,16.09,5.08,0.09,5.27,369.37,201207,2012,07,34.622377718,-111.8147857,1343.05
27.15,1.71,13.43,20.29,0.46,39.71,16.83,4.44,0.1,0.0,367.94,201208,2012,08,34.622377718,-111.8147857,1343.05
23.17,1.71,8.73,15.95,0.45,34.46,11.94,5.5,0.07,0.0,331.47,201209,2012,09,34.622377718,-111.8147857,1343.05
17.33,2.08,-0.13,8.6,0.39,33.35,3.26,6.67,0.21,0.0,278.25,201210,2012,10,34.622377718,-111.8147857,1343.05
12.18,1.88,-3.48,4.35,0.38,27.72,-4.88,7.3,0.01,0.0,259.66,201211,2012,11,34.622377718,-111.8147857,1343.05
4.89,1.88,-4.41,0.24,0.45,22.93,-6.54,6.1,0.06,0.0,252.84,201212,2012,12,34.622377718,-111.8147857,1343.05
16.57,2.12,-0.23,8.17,0.4,40.14,-6.85,8.16,0.01,0.0,288.72,201213,2012,13,34.622377718,-111.8147857,1343.05
2.97,2.37,-6.93,-1.98,0.52,20.58,-12.29,6.51,0.07,0.0,239.24,201301,2013,01,34.622377718,-111.8147857,1343.05
4.17,2.19,-5.96,-0.9,0.54,20.3,-6.85,7.18,0.12,0.0,241.52,201302,2013,02,34.622377718,-111.8147857,1343.05
11.88,2.13,-2.69,4.6,0.52,27.65,-3.34,5.73,0.04,0.0,264.85,201303,2013,03,34.622377718,-111.8147857,1343.05
14.83,2.56,-2.98,5.93,0.46,32.56,-2.67,9.3,0.23,0.0,270.01,201304,2013,04,34.622377718,-111.8147857,1343.05
19.84,2.7,-2.28,8.78,0.34,35.09,5.12,8.3,0.05,0.0,287.2,201305,2013,05,34.622377718,-111.8147857,1343.05
27.65,2.53,-2.28,12.69,0.23,44.05,15.32,7.3,0.16,0.0,319.34,201306,2013,06,34.622377718,-111.8147857,1343.05
26.98,1.72,13.14,20.06,0.41,40.98,18.53,4.75,0.07,0.0,376.01,201307,2013,07,34.622377718,-111.8147857,1343.05
25.64,1.87,11.66,18.65,0.44,38.01,14.51,4.86,0.09,0.0,366.98,201308,2013,08,34.622377718,-111.8147857,1343.05
22.06,1.95,9.08,15.57,0.5,35.26,6.02,8.07,0.1,0.0,324.9,201309,2013,09,34.622377718,-111.8147857,1343.05
14.03,2.3,-1.67,6.18,0.45,28.12,0.65,7.95,0.13,0.0,262.88,201310,2013,10,34.622377718,-111.8147857,1343.05
9.93,1.91,-0.72,4.6,0.48,26.38,-3.18,6.49,0.05,0.0,269.47,201311,2013,11,34.622377718,-111.8147857,1343.05
4.13,2.38,-5.26,-0.56,0.52,20.82,-8.24,6.22,0.12,0.0,240.54,201312,2013,12,34.622377718,-111.8147857,1343.05
15.4,2.22,0.3,7.85,0.45,44.05,-12.29,9.3,0.04,0.0,288.88,201313,2013,13,34.622377718,-111.8147857,1343.05
7.42,2.12,-6.27,0.58,0.49,20.33,-4.2,5.48,0.15,0.0,244.29,201401,2014,01,34.622377718,-111.8147857,1343.05
9.41,1.8,-3.17,3.12,0.47,25.34,-4.41,6.82,0.03,0.0,264.16,201402,2014,02,34.622377718,-111.8147857,1343.05
11.62,2.38,-3.56,4.03,0.49,24.58,0.13,8.12,0.05,0.0,261.74,201403,2014,03,34.622377718,-111.8147857,1343.05
14.77,2.61,-4.39,5.19,0.41,29.73,-1.59,7.8,0.08,0.0,273.85,201404,2014,04,34.622377718,-111.8147857,1343.05
19.51,2.77,-3.86,7.83,0.29,36.18,3.48,7.68,0.2,0.0,288.14,201405,2014,05,34.622377718,-111.8147857,1343.05
26.15,2.73,-4.07,11.04,0.19,37.7,13.38,8.05,0.27,0.0,304.27,201406,2014,06,34.622377718,-111.8147857,1343.05
27.31,1.76,11.3,19.3,0.38,37.91,18.0,4.84,0.18,0.0,371.13,201407,2014,07,34.622377718,-111.8147857,1343.05
24.28,1.79,12.25,18.26,0.51,37.29,14.3,5.29,0.17,5.27,349.22,201408,2014,08,34.622377718,-111.8147857,1343.05
23.29,1.66,11.27,17.28,0.51,34.45,8.78,6.54,0.03,0.0,340.28,201409,2014,09,34.622377718,-111.8147857,1343.05
17.97,1.8,4.27,11.12,0.48,30.69,7.34,6.43,0.02,0.0,296.58,201410,2014,10,34.622377718,-111.8147857,1343.05
10.08,2.13,-2.92,3.58,0.45,25.95,-3.65,7.24,0.09,0.0,251.45,201411,2014,11,34.622377718,-111.8147857,1343.05
6.15,1.7,-1.35,2.4,0.52,20.1,-5.02,6.85,0.08,0.0,262.0,201412,2014,12,34.622377718,-111.8147857,1343.05
16.53,2.1,0.83,8.68,0.43,37.91,-5.02,8.12,0.02,0.0,292.48,201413,2014,13,34.622377718,-111.8147857,1343.05
6.64,2.09,-1.63,2.51,0.52,21.89,-6.47,7.14,0.17,0.0,261.89,201501,2015,01,34.622377718,-111.8147857,1343.05
10.58,1.99,-1.43,4.58,0.52,23.81,-2.53,6.73,0.09,0.0,263.1,201502,2015,02,34.622377718,-111.8147857,1343.05
12.86,2.08,-0.54,6.16,0.55,27.92,-3.47,5.8,0.1,0.0,272.49,201503,2015,03,34.622377718,-111.8147857,1343.05
14.29,2.34,-2.59,5.85,0.48,29.93,-1.53,6.8,0.08,0.0,270.73,201504,2015,04,34.622377718,-111.8147857,1343.05
16.8,2.38,2.55,9.67,0.48,34.41,3.5,7.25,0.02,0.0,301.07,201505,2015,05,34.622377718,-111.8147857,1343.05
26.51,2.12,5.49,16.0,0.4,40.08,11.55,6.69,0.03,0.0,339.57,201506,2015,06,34.622377718,-111.8147857,1343.05
25.87,2.06,10.94,18.4,0.44,36.63,13.85,6.86,0.13,0.0,356.77,201507,2015,07,34.622377718,-111.8147857,1343.05
27.25,1.88,11.82,19.53,0.41,38.98,17.71,5.02,0.2,0.0,361.89,201508,2015,08,34.622377718,-111.8147857,1343.05
23.86,1.83,10.35,17.1,0.41,36.32,12.94,5.86,0.09,0.0,341.24,201509,2015,09,34.622377718,-111.8147857,1343.05
17.52,1.96,6.31,11.92,0.46,32.62,3.58,6.38,0.15,0.0,312.05,201510,2015,10,34.622377718,-111.8147857,1343.05
7.6,2.32,-3.05,2.27,0.5,26.48,-4.97,7.12,0.17,0.0,249.84,201511,2015,11,34.622377718,-111.8147857,1343.05
4.08,1.95,-5.6,-0.75,0.49,21.37,-6.6,7.95,0.12,0.0,243.98,201512,2015,12,34.622377718,-111.8147857,1343.05
16.18,2.09,2.76,9.47,0.47,40.08,-6.6,7.95,0.02,0.0,298.15,201513,2015,13,34.622377718,-111.8147857,1343.05
4.45,2.08,-3.97,0.24,0.55,18.53,-6.49,6.93,0.09,0.0,249.27,201601,2016,01,34.622377718,-111.8147857,1343.05
9.32,2.5,-4.59,2.37,0.51,24.85,-7.27,7.34,0.01,0.0,246.84,201602,2016,02,34.622377718,-111.8147857,1343.05
12.37,2.24,-3.67,4.35,0.46,25.88,-0.85,7.45,0.27,0.0,264.46,201603,2016,03,34.622377718,-111.8147857,1343.05
14.26,2.44,-1.38,6.44,0.45,28.89,1.06,9.33,0.15,0.0,283.31,201604,2016,04,34.622377718,-111.8147857,1343.05
18.19,2.47,0.26,9.23,0.4,33.5,5.51,7.78,0.22,0.0,286.77,201605,2016,05,34.622377718,-111.8147857,1343.05
27.76,2.3,1.87,14.81,0.25,43.0,13.64,6.25,0.23,0.0,335.94,201606,2016,06,34.622377718,-111.8147857,1343.05
28.39,1.99,9.05,18.72,0.35,40.06,17.98,6.04,0.05,0.0,352.07,201607,2016,07,34.622377718,-111.8147857,1343.05
24.98,1.66,13.04,19.01,0.48,37.3,14.83,5.05,0.02,0.0,356.55,201608,2016,08,34.622377718,-111.8147857,1343.05
21.82,2.07,6.71,14.26,0.41,35.17,7.51,6.56,0.08,0.0,324.42,201609,2016,09,34.622377718,-111.8147857,1343.05
18.94,2.02,3.13,11.03,0.37,30.26,8.01,5.7,0.16,0.0,295.88,201610,2016,10,34.622377718,-111.8147857,1343.05
11.04,1.95,-0.92,5.06,0.44,26.68,-5.17,6.09,0.19,0.0,269.8,201611,2016,11,34.622377718,-111.8147857,1343.05
6.56,2.09,-1.27,2.65,0.53,20.48,-5.81,7.62,0.05,5.27,262.19,201612,2016,12,34.622377718,-111.8147857,1343.05
16.52,2.15,1.55,9.04,0.44,43.0,-7.27,9.33,0.01,0.0,294.12,201613,2016,13,34.622377718,-111.8147857,1343.05
4.15,2.26,-1.06,1.55,0.62,18.9,-6.33,7.43,0.16,5.27,265.83,201701,2017,01,34.622377718,-111.8147857,1343.05
8.54,1.96,0.99,4.76,0.61,23.25,-4.08,7.27,0.16,0.0,274.42,201702,2017,02,34.622377718,-111.8147857,1343.05
12.87,2.21,0.48,6.68,0.6,27.36,-3.11,7.6,0.22,0.0,272.31,201703,2017,03,34.622377718,-111.8147857,1343.05
14.96,2.39,-1.44,6.76,0.53,29.17,-0.93,6.84,0.05,0.0,270.48,201704,2017,04,34.622377718,-111.8147857,1343.05
18.74,2.59,1.85,10.3,0.47,33.93,3.16,7.84,0.34,0.0,292.7,201705,2017,05,34.622377718,-111.8147857,1343.05
27.19,2.37,1.05,14.12,0.34,43.27,7.44,6.86,0.05,0.0,326.09,201706,2017,06,34.622377718,-111.8147857,1343.05
27.14,1.62,12.48,19.81,0.45,41.18,17.85,5.54,0.03,5.27,373.6,201707,2017,07,34.622377718,-111.8147857,1343.05
26.3,1.7,11.59,18.94,0.48,37.49,15.77,5.21,0.09,0.0,352.14,201708,2017,08,34.622377718,-111.8147857,1343.05
