T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
18.84,3.77,13.34,16.09,0.35,31.17,6.2,8.87,0.37,0.0,357.16,201201,2012,01,26.023873518,-97.46296072,8.98
19.26,3.77,15.25,17.25,0.48,30.8,10.28,9.73,0.17,5.27,374.8,201202,2012,02,26.023873518,-97.46296072,8.98
22.68,4.4,17.07,19.87,0.38,32.61,10.09,9.09,0.34,0.0,381.84,201203,2012,03,26.023873518,-97.46296072,8.98
25.62,4.2,18.67,22.15,0.36,36.03,15.56,8.85,0.09,0.0,386.12,201204,2012,04,26.023873518,-97.46296072,8.98
27.41,3.83,20.75,24.08,0.36,35.79,19.22,8.38,0.28,0.0,402.13,201205,2012,05,26.023873518,-97.46296072,8.98
29.76,3.5,22.06,25.91,0.32,39.4,23.34,6.8,0.16,0.0,417.38,201206,2012,06,26.023873518,-97.46296072,8.98
29.31,3.81,22.91,26.11,0.38,36.6,24.59,6.93,1.2,0.0,422.61,201207,2012,07,26.023873518,-97.46296072,8.98
30.14,3.41,22.73,26.43,0.33,39.45,24.23,7.42,0.2,0.0,424.04,201208,2012,08,26.023873518,-97.46296072,8.98
28.88,3.3,21.51,25.19,0.35,37.36,22.15,6.32,0.13,0.0,415.73,201209,2012,09,26.023873518,-97.46296072,8.98
26.63,3.6,19.05,22.84,0.34,38.07,14.82,7.55,0.35,0.0,402.42,201210,2012,10,26.023873518,-97.46296072,8.98
22.85,3.2,16.32,19.58,0.34,32.51,14.36,8.77,0.16,0.0,378.7,201211,2012,11,26.023873518,-97.46296072,8.98
20.26,3.95,13.47,16.86,0.33,30.55,5.95,9.8,0.52,0.0,364.03,201212,2012,12,26.023873518,-97.46296072,8.98
25.15,3.73,18.6,21.87,0.36,39.45,5.95,9.8,0.09,0.0,393.95,201213,2012,13,26.023873518,-97.46296072,8.98
16.9,4.14,11.7,14.3,0.4,30.05,3.88,9.95,0.62,0.0,353.57,201301,2013,01,26.023873518,-97.46296072,8.98
