T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
-5.96,4.84,-10.58,-8.27,0.45,4.76,-19.25,12.23,0.69,0.0,218.75,201201,2012,01,42.39996439798,-108.702415369,2203.62
-7.3,3.74,-10.53,-8.92,0.48,3.4,-17.17,13.83,0.03,0.0,225.72,201202,2012,02,42.39996439798,-108.702415369,2203.62
1.09,4.62,-6.35,-2.63,0.5,18.82,-18.03,11.39,0.57,0.0,243.3,201203,2012,03,42.39996439798,-108.702415369,2203.62
5.82,3.56,-4.45,0.69,0.46,24.31,-7.63,9.55,0.11,0.0,267.22,201204,2012,04,42.39996439798,-108.702415369,2203.62
9.9,3.19,-2.99,3.46,0.41,25.35,-4.2,9.14,0.02,0.0,282.75,201205,2012,05,42.39996439798,-108.702415369,2203.62
17.39,3.41,-2.57,7.41,0.31,32.21,-0.75,9.88,0.04,0.0,293.78,201206,2012,06,42.39996439798,-108.702415369,2203.62
21.71,2.35,3.87,12.79,0.23,33.55,10.9,7.15,0.15,0.0,349.99,201207,2012,07,42.39996439798,-108.702415369,2203.62
20.48,2.39,-0.12,10.18,0.17,32.89,7.19,6.16,0.15,0.0,328.64,201208,2012,08,42.39996439798,-108.702415369,2203.62
14.51,2.39,-2.38,6.06,0.19,26.39,3.14,7.38,0.26,0.0,294.3,201209,2012,09,42.39996439798,-108.702415369,2203.62
4.88,3.14,-5.23,-0.17,0.29,22.74,-8.38,11.08,0.16,0.0,264.28,201210,2012,10,42.39996439798,-108.702415369,2203.62
0.58,3.72,-6.36,-2.89,0.38,15.29,-10.81,8.27,0.13,0.0,246.65,201211,2012,11,42.39996439798,-108.702415369,2203.62
-6.4,4.24,-11.14,-8.77,0.39,8.95,-16.44,11.34,0.37,0.0,228.62,201212,2012,12,42.39996439798,-108.702415369,2203.62
6.43,3.47,-4.88,0.77,0.35,33.55,-19.25,13.83,0.02,0.0,270.52,201213,2012,13,42.39996439798,-108.702415369,2203.62
-7.53,3.7,-12.52,-10.02,0.4,4.44,-24.25,8.21,0.05,0.0,219.15,201301,2013,01,42.39996439798,-108.702415369,2203.62
-6.42,3.88,-11.44,-8.93,0.41,5.31,-17.5,8.22,0.04,0.0,219.91,201302,2013,02,42.39996439798,-108.702415369,2203.62
-0.82,3.77,-8.85,-4.83,0.41,14.69,-14.73,12.12,0.05,0.0,244.7,201303,2013,03,42.39996439798,-108.702415369,2203.62
0.19,3.94,-7.56,-3.69,0.44,18.65,-18.25,10.97,0.11,0.0,255.38,201304,2013,04,42.39996439798,-108.702415369,2203.62
9.41,3.06,-1.61,3.9,0.44,25.93,-9.0,8.8,0.07,0.0,288.31,201305,2013,05,42.39996439798,-108.702415369,2203.62
16.63,2.86,-0.18,8.23,0.38,32.56,0.12,9.05,0.16,0.0,302.95,201306,2013,06,42.39996439798,-108.702415369,2203.62
20.96,2.27,4.48,12.72,0.31,32.27,9.19,6.4,0.07,0.0,342.45,201307,2013,07,42.39996439798,-108.702415369,2203.62
19.92,2.24,3.56,11.74,0.3,31.67,9.56,5.2,0.14,0.0,337.63,201308,2013,08,42.39996439798,-108.702415369,2203.62
13.17,3.02,3.44,8.3,0.38,29.98,-5.05,10.4,0.02,0.0,313.28,201309,2013,09,42.39996439798,-108.702415369,2203.62
2.76,2.58,-3.96,-0.6,0.49,17.91,-9.35,7.13,0.22,0.0,261.09,201310,2013,10,42.39996439798,-108.702415369,2203.62
-1.69,3.49,-7.86,-4.77,0.48,11.62,-12.6,9.18,0.15,0.0,231.35,201311,2013,11,42.39996439798,-108.702415369,2203.62
-8.45,4.41,-12.38,-10.42,0.48,4.76,-24.72,9.97,0.22,0.0,219.74,201312,2013,12,42.39996439798,-108.702415369,2203.62
4.91,3.26,-4.53,0.19,0.41,32.56,-24.72,12.12,0.02,0.0,270.0,201313,2013,13,42.39996439798,-108.702415369,2203.62
-5.81,4.48,-10.82,-8.32,0.48,7.05,-22.5,11.54,0.33,0.0,219.31,201401,2014,01,42.39996439798,-108.702415369,2203.62
-6.17,5.12,-9.9,-8.03,0.48,5.88,-21.9,12.17,0.34,0.0,229.17,201402,2014,02,42.39996439798,-108.702415369,2203.62
-1.21,4.44,-7.18,-4.2,0.51,9.87,-10.61,11.05,0.16,0.0,249.7,201403,2014,03,42.39996439798,-108.702415369,2203.62
2.73,3.76,-5.52,-1.39,0.48,16.76,-10.36,9.34,0.15,0.0,260.9,201404,2014,04,42.39996439798,-108.702415369,2203.62
9.46,3.07,-0.84,4.31,0.45,27.4,-9.39,9.35,0.15,0.0,291.43,201405,2014,05,42.39996439798,-108.702415369,2203.62
13.5,2.94,0.7,7.1,0.41,28.77,-0.1,7.44,0.02,0.0,301.77,201406,2014,06,42.39996439798,-108.702415369,2203.62
20.2,2.48,4.16,12.19,0.34,32.76,5.58,6.86,0.09,0.0,328.43,201407,2014,07,42.39996439798,-108.702415369,2203.62
