T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
9.94,2.18,-3.74,3.1,0.48,23.33,-1.03,5.93,0.14,0.0,276.43,201201,2012,01,33.648429458,-111.1135627,920.86
10.38,2.14,-2.5,3.94,0.45,22.79,-0.54,7.34,0.06,0.0,278.89,201202,2012,02,33.648429458,-111.1135627,920.86
13.61,2.16,-3.65,4.98,0.43,29.4,-2.77,6.57,0.13,0.0,282.75,201203,2012,03,33.648429458,-111.1135627,920.86
19.23,2.14,-2.67,8.28,0.32,36.62,3.75,6.59,0.06,0.0,312.07,201204,2012,04,33.648429458,-111.1135627,920.86
24.68,2.56,-4.81,9.94,0.17,40.43,10.88,7.49,0.09,0.0,313.89,201205,2012,05,33.648429458,-111.1135627,920.86
30.23,2.27,-1.57,14.33,0.09,40.86,18.43,5.98,0.04,0.0,353.45,201206,2012,06,33.648429458,-111.1135627,920.86
29.4,2.02,13.26,21.33,0.33,40.87,19.06,5.76,0.05,0.0,408.21,201207,2012,07,33.648429458,-111.1135627,920.86
30.07,1.81,14.58,22.33,0.4,42.58,21.11,6.52,0.08,0.0,406.55,201208,2012,08,33.648429458,-111.1135627,920.86
26.08,1.91,10.37,18.23,0.39,37.7,14.55,5.81,0.04,0.0,371.3,201209,2012,09,33.648429458,-111.1135627,920.86
21.49,1.98,0.26,10.88,0.23,36.1,8.24,6.08,0.19,0.0,318.91,201210,2012,10,33.648429458,-111.1135627,920.86
15.95,1.98,-1.85,7.05,0.31,30.9,1.26,6.31,0.06,0.0,298.08,201211,2012,11,33.648429458,-111.1135627,920.86
9.05,1.95,-2.93,3.06,0.4,25.97,-3.24,6.01,0.13,0.0,280.52,201212,2012,12,33.648429458,-111.1135627,920.86
20.03,2.09,1.26,10.64,0.34,42.58,-3.24,7.49,0.04,0.0,325.25,201213,2012,13,33.648429458,-111.1135627,920.86
6.71,2.29,-4.42,1.14,0.5,23.87,-6.12,5.88,0.12,0.0,266.59,201301,2013,01,33.648429458,-111.1135627,920.86
7.81,2.05,-3.42,2.19,0.54,23.08,-4.22,5.61,0.23,0.0,270.47,201302,2013,02,33.648429458,-111.1135627,920.86
15.15,2.05,-0.38,7.38,0.52,30.19,0.22,6.3,0.12,0.0,297.84,201303,2013,03,33.648429458,-111.1135627,920.86
18.15,2.36,-0.83,8.66,0.45,33.98,2.14,9.55,0.14,0.0,304.77,201304,2013,04,33.648429458,-111.1135627,920.86
23.48,2.49,-1.07,11.2,0.27,35.69,10.57,7.34,0.13,0.0,326.51,201305,2013,05,33.648429458,-111.1135627,920.86
30.69,2.29,-1.91,14.39,0.12,43.56,18.17,6.41,0.18,0.0,357.32,201306,2013,06,33.648429458,-111.1135627,920.86
29.53,1.92,14.82,22.18,0.36,40.24,20.65,5.44,0.02,0.0,416.48,201307,2013,07,33.648429458,-111.1135627,920.86
29.53,1.96,12.84,21.19,0.33,42.02,18.76,5.74,0.05,0.0,406.59,201308,2013,08,33.648429458,-111.1135627,920.86
26.26,2.12,10.32,18.29,0.38,39.35,10.73,7.5,0.06,0.0,367.71,201309,2013,09,33.648429458,-111.1135627,920.86
18.69,2.32,-2.02,8.33,0.23,32.38,4.7,7.54,0.08,0.0,304.25,201310,2013,10,33.648429458,-111.1135627,920.86
14.03,2.48,0.45,7.24,0.33,29.82,-0.03,7.17,0.16,0.0,306.14,201311,2013,11,33.648429458,-111.1135627,920.86
8.14,2.38,-3.01,2.56,0.49,24.38,-3.09,5.48,0.12,0.0,271.18,201312,2013,12,33.648429458,-111.1135627,920.86
