T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
-0.24,7.09,-2.72,-1.48,0.66,5.71,-8.38,13.28,0.54,0.0,261.0,201201,2012,01,44.928449628,-86.02706591,180.11
0.38,5.99,-2.95,-1.29,0.66,5.12,-6.42,12.79,0.47,0.0,263.65,201202,2012,02,44.928449628,-86.02706591,180.11
4.02,5.44,1.83,2.93,0.69,13.22,-6.95,13.27,0.16,0.0,317.74,201203,2012,03,44.928449628,-86.02706591,180.11
4.94,4.48,1.69,3.31,0.65,11.12,0.32,12.97,0.09,0.0,315.14,201204,2012,04,44.928449628,-86.02706591,180.11
9.68,3.73,7.23,8.45,0.61,16.96,4.53,10.73,0.09,0.0,355.81,201205,2012,05,44.928449628,-86.02706591,180.11
15.5,3.76,12.63,14.06,0.54,20.66,8.64,9.34,0.34,0.0,383.77,201206,2012,06,44.928449628,-86.02706591,180.11
21.8,3.55,18.15,19.98,0.45,25.64,18.53,9.22,0.15,0.0,414.16,201207,2012,07,44.928449628,-86.02706591,180.11
21.1,4.67,16.38,18.74,0.41,24.83,16.98,10.34,0.51,0.0,390.1,201208,2012,08,44.928449628,-86.02706591,180.11
16.9,5.14,12.13,14.51,0.44,23.69,9.87,12.2,0.12,0.0,347.69,201209,2012,09,44.928449628,-86.02706591,180.11
10.76,6.73,7.1,8.93,0.55,17.7,5.16,13.7,0.3,5.27,321.38,201210,2012,10,44.928449628,-86.02706591,180.11
5.62,6.48,2.34,3.98,0.59,14.3,-0.38,13.52,0.4,0.0,295.84,201211,2012,11,44.928449628,-86.02706591,180.11
2.23,6.2,-0.59,0.82,0.62,11.87,-2.92,14.99,0.24,0.0,277.51,201212,2012,12,44.928449628,-86.02706591,180.11
9.42,5.27,6.14,7.78,0.57,25.64,-8.38,14.99,0.09,0.0,328.93,201213,2012,13,44.928449628,-86.02706591,180.11
-1.52,7.43,-3.75,-2.63,0.64,5.98,-12.67,13.84,0.1,0.0,255.62,201301,2013,01,44.928449628,-86.02706591,180.11
-3.13,6.64,-5.36,-4.24,0.68,3.4,-10.21,12.05,0.59,0.0,259.26,201302,2013,02,44.928449628,-86.02706591,180.11
-1.72,5.62,-4.1,-2.91,0.71,3.65,-7.78,10.45,0.33,0.0,268.13,201303,2013,03,44.928449628,-86.02706591,180.11
2.49,5.52,-0.38,1.05,0.73,11.65,-3.16,12.7,0.29,5.27,304.52,201304,2013,04,44.928449628,-86.02706591,180.11
7.59,3.55,5.33,6.46,0.69,16.16,2.07,10.99,0.16,0.0,350.95,201305,2013,05,44.928449628,-86.02706591,180.11
12.5,3.1,10.69,11.59,0.62,21.12,5.79,8.63,0.12,0.0,381.76,201306,2013,06,44.928449628,-86.02706591,180.11
