T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
3.15,5.26,0.17,1.66,0.81,12.34,-6.57,11.39,0.28,0.0,274.29,201201,2012,01,40.71876838,-73.99001245,10.17
4.16,4.76,0.7,2.44,0.8,12.2,-4.56,10.3,0.45,0.0,273.08,201202,2012,02,40.71876838,-73.99001245,10.17
7.98,4.23,5.12,6.55,0.77,16.55,-2.23,9.55,0.17,0.0,301.89,201203,2012,03,40.71876838,-73.99001245,10.17
10.53,4.14,6.09,8.31,0.68,19.64,3.45,9.32,0.16,0.0,301.05,201204,2012,04,40.71876838,-73.99001245,10.17
16.3,3.23,13.87,15.08,0.66,26.36,9.48,7.39,0.23,5.27,356.76,201205,2012,05,40.71876838,-73.99001245,10.17
20.27,3.33,16.15,18.21,0.59,30.75,12.02,7.79,0.27,5.27,367.41,201206,2012,06,40.71876838,-73.99001245,10.17
25.01,3.16,19.72,22.36,0.45,31.75,19.68,8.2,0.15,0.0,398.59,201207,2012,07,40.71876838,-73.99001245,10.17
24.45,3.05,19.58,22.01,0.47,29.29,18.67,7.05,0.2,5.27,387.32,201208,2012,08,40.71876838,-73.99001245,10.17
20.85,3.84,15.85,18.35,0.48,29.26,14.15,12.7,0.17,5.27,361.98,201209,2012,09,40.71876838,-73.99001245,10.17
15.41,4.52,11.83,13.62,0.52,23.55,6.28,20.23,0.17,5.27,341.42,201210,2012,10,40.71876838,-73.99001245,10.17
7.07,4.67,3.46,5.26,0.58,15.59,2.12,10.45,0.48,0.0,292.83,201211,2012,11,40.71876838,-73.99001245,10.17
6.13,4.84,3.48,4.81,0.66,13.84,-0.89,14.16,0.05,5.27,297.51,201212,2012,12,40.71876838,-73.99001245,10.17
13.48,4.09,9.71,11.59,0.62,31.75,-6.57,20.23,0.05,0.0,329.8,201213,2012,13,40.71876838,-73.99001245,10.17
2.01,4.83,-0.77,0.62,0.74,13.27,-8.38,15.71,0.33,0.0,274.41,201301,2013,01,40.71876838,-73.99001245,10.17
1.26,5.34,-1.83,-0.28,0.77,8.34,-6.59,11.48,0.09,5.27,271.68,201302,2013,02,40.71876838,-73.99001245,10.17
3.3,5.04,0.15,1.72,0.79,10.23,-1.7,12.25,0.51,0.0,276.7,201303,2013,03,40.71876838,-73.99001245,10.17
8.64,4.16,5.19,6.91,0.74,19.4,0.19,9.02,0.1,0.0,299.62,201304,2013,04,40.71876838,-73.99001245,10.17
13.97,3.73,11.26,12.62,0.68,24.45,6.03,9.2,0.23,5.27,336.13,201305,2013,05,40.71876838,-73.99001245,10.17
19.76,3.51,17.43,18.6,0.71,26.51,12.98,11.06,0.09,5.27,370.92,201306,2013,06,40.71876838,-73.99001245,10.17
24.3,3.36,21.59,22.94,0.6,30.94,18.47,7.25,0.55,5.27,402.0,201307,2013,07,40.71876838,-73.99001245,10.17
22.43,3.22,18.3,20.37,0.52,27.61,16.34,6.75,0.1,0.0,378.39,201308,2013,08,40.71876838,-73.99001245,10.17
19.23,3.61,13.87,16.55,0.45,27.72,10.67,7.12,0.06,0.0,344.23,201309,2013,09,40.71876838,-73.99001245,10.17
15.49,4.23,11.01,13.25,0.41,24.96,6.73,9.27,0.41,0.0,334.02,201310,2013,10,40.71876838,-73.99001245,10.17
7.82,5.12,2.87,5.34,0.42,19.44,-2.6,10.83,0.23,0.0,294.03,201311,2013,11,40.71876838,-73.99001245,10.17
3.85,4.59,1.29,2.57,0.62,14.21,-4.01,8.76,0.06,5.27,289.27,201312,2013,12,40.71876838,-73.99001245,10.17
11.9,4.22,8.43,10.17,0.62,30.94,-8.38,15.71,0.06,5.27,322.98,201313,2013,13,40.71876838,-73.99001245,10.17
-1.1,5.2,-3.73,-2.41,0.73,11.14,-12.83,11.41,0.17,0.0,264.85,201401,2014,01,40.71876838,-73.99001245,10.17
-0.97,4.61,-3.67,-2.32,0.78,8.79,-10.96,11.42,0.4,5.27,261.34,201402,2014,02,40.71876838,-73.99001245,10.17
1.77,4.88,-1.99,-0.11,0.79,12.22,-8.49,10.77,0.66,5.27,272.46,201403,2014,03,40.71876838,-73.99001245,10.17
7.84,4.34,4.74,6.29,0.78,15.36,-0.36,10.64,0.1,5.27,296.05,201404,2014,04,40.71876838,-73.99001245,10.17
14.48,3.31,11.63,13.06,0.78,22.77,8.03,8.34,0.24,5.27,342.67,201405,2014,05,40.71876838,-73.99001245,10.17
19.92,3.01,16.84,18.38,0.66,26.62,12.17,7.88,0.1,0.0,361.59,201406,2014,06,40.71876838,-73.99001245,10.17
22.8,3.72,19.12,20.96,0.55,26.78,16.85,7.6,0.35,5.27,380.97,201407,2014,07,40.71876838,-73.99001245,10.17
22.61,3.09,17.36,19.98,0.48,27.29,17.21,8.47,0.24,5.27,368.17,201408,2014,08,40.71876838,-73.99001245,10.17
20.66,3.48,15.52,18.09,0.41,28.72,12.65,7.93,0.05,0.0,360.93,201409,2014,09,40.71876838,-73.99001245,10.17
15.53,4.66,11.23,13.37,0.49,22.25,7.12,10.5,0.55,5.27,335.64,201410,2014,10,40.71876838,-73.99001245,10.17
7.45,5.07,3.51,5.48,0.61,17.2,-1.81,10.66,0.12,5.27,297.09,201411,2014,11,40.71876838,-73.99001245,10.17
4.77,4.81,2.28,3.52,0.75,13.19,-1.42,10.61,0.27,5.27,296.01,201412,2014,12,40.71876838,-73.99001245,10.17
11.39,4.18,7.8,9.59,0.65,28.72,-12.83,11.42,0.05,5.27,320.2,201413,2014,13,40.71876838,-73.99001245,10.17
